cell,markers
adipose tissue adipocytes,"['HYAL2', 'S1PR1', 'PECAM1', 'F2RL3', 'ICAM2', 'CDH5', 'FLT1', 'PLVAP', 'ADRB2', 'TIE1']"
adipose tissue fibroblasts,"['TRAC', 'SIGLEC5', 'TLR9', 'TPTE', 'PCDHGC5', 'HTR1D', 'SIGLEC12', 'UGT1A9', 'PCDHA11', 'KIR2DL3']"
adipose tissue schwann cells,"['HLA-DRA', 'CD74', 'HLA-DPA1', 'HLA-DPB1', 'HLA-DRB1', 'HLA-DQB1', 'HLA-DQA1', 'CPVL', 'HLA-DRB5', 'AREG']"
adipose tissue smooth muscle cells,"['SUCNR1', 'PCDHA11', 'SIGLEC5', 'PCDHGC5', 'TRHR', 'TLR9', 'GP5', 'TPTE', 'PCDHA6', 'TMEFF1']"
bone marrow erythroid cells,"['ITGA4', 'CD38', 'ITGA2B', 'MINPP1', 'ATP6V0A2', 'CSF2RB', 'P2RX1', 'ATG9A', 'NTRK1', 'P2RY8']"
brain astrocytes,"['GPC5', 'SLC1A3', 'FGFR3', 'SLC14A1', 'GABRA2', 'CACHD1', 'ATP1B2', 'HEPACAM', 'SLC15A2', 'MERTK']"
brain excitatory neurons,"['PTPRD', 'NEGR1', 'SLC8A1', 'LRP1B', 'EFNA5', 'EPHA5', 'GABRB3', 'SORCS1', 'CDH10', 'LAMA2']"
brain inhibitory neurons,"['CNTNAP2', 'SGCZ', 'ROBO1', 'CDH13', 'THSD7A', 'SDK1', 'TRHDE', 'CDH9', 'NTNG1', 'KIT']"
brain microglial cells,"['ABCB1', 'COLEC12', 'FLT1', 'ENTPD1', 'TMEM156', 'CD86', 'CMKLR1', 'LPAR5', 'LILRB1', 'KCNK17']"
brain oligodendrocyte precursor cells,"['PCDH15', 'PTPRZ1', 'SEMA5A', 'CHST11', 'LRRN1', 'NLGN4X', 'PDGFRA', 'BCAN', 'CSPG5', 'CHL1']"
brain oligodendrocytes,"['PCDH9', 'PDE4B', 'SLC44A1', 'UNC5C', 'UGT8', 'HHIP', 'GPM6B', 'APLP1', 'FGFR2', 'ABCA2']"
breast adipocytes,"['CD36', 'AQP1', 'SLC14A1', 'RAMP3', 'APLNR', 'SELP', 'CYSLTR1', 'SUCNR1', 'PCDHGC5', 'SIGLEC5']"
breast breast glandular cells,"['FOLR1', 'MRC1', 'MFGE8', 'CD14', 'SLC39A6', 'MUC4', 'CANT1', 'CA12', 'PLA2G3', 'NAAA']"
breast breast myoepithelial cells,"['SIGLEC5', 'TRHR', 'PCDHGC5', 'PCDHA11', 'TLR9', 'PCDHA6', 'TPTE', 'GP5', 'TMEFF1', 'HTR1D']"
breast endothelial cells,"['LRRC15', 'SIGLEC5', 'TLR9', 'TPTE', 'PCDHA11', 'PCDHGC5', 'PCDHA6', 'UGT1A9', 'SIGLEC12', 'NTSR1']"
breast fibroblasts,"['GPR174', 'ADAM12', 'SLC26A5', 'PCDH20', 'SLC6A11', 'SIGLEC5', 'TLR9', 'TPTE', 'PCDHGC5', 'SIGLEC12']"
breast smooth muscle cells,"['SIGLEC5', 'TRHR', 'TLR9', 'TPTE', 'PCDHGC5', 'GP5', 'PCDHA11', 'TMEFF1', 'KIR2DL3', 'UGT1A9']"
bronchus basal respiratory cells,"['BCAM', 'ITGB6', 'CDH3', 'LAMA3', 'CLCA2', 'IFNGR1', 'RAET1G', 'FAP', 'CD109', 'ITGB4']"
bronchus ciliated cells,"['MUC4', 'CHST6', 'SIGLEC5', 'PCDHGC5', 'TRHR', 'TLR9', 'TPTE', 'PCDHA11', 'PCDHA6', 'TMEFF1']"
bronchus club cells,"['CEACAM6', 'SLC6A14', 'CLEC2B', 'CDCP1', 'SLC6A8', 'SLC6A6', 'GPRC5A', 'CPD', 'SLC15A2', 'SIGLEC5']"
