cell,markers
adipose tissue adipocytes,"['CD36', 'HYAL2', 'PECAM1', 'EMP1', 'S1PR1', 'PLVAP', 'ICAM2', 'CDH5', 'F2RL3', 'FLT1']"
adipose tissue fibroblasts,"['SIGLEC5', 'TLR9', 'PCDHGC5', 'UGT1A9', 'NTSR1', 'KIR2DL3', 'TPTE', 'PCDHA11', 'SIGLEC12', 'GP5']"
adipose tissue schwann cells,"['HLA-DRA', 'CD74', 'HLA-DPA1', 'HLA-DPB1', 'HLA-DRB1', 'HLA-DQB1', 'HLA-DQA1', 'CPVL', 'HLA-DRB5', 'AREG']"
adipose tissue smooth muscle cells,"['SUCNR1', 'VIPR1', 'PCDHA11', 'SIGLEC5', 'TRBV12-3', 'TLR9', 'PCDHGC5', 'UGT1A9', 'TRHR', 'PCDHA6']"
bone marrow erythroid cells,"['ITGA4', 'CD38', 'MINPP1', 'ITGA2B', 'ATP6V0A2', 'CSF2RB', 'P2RX1', 'CD84', 'S1PR4', 'CR1']"
brain astrocytes,"['GPC5', 'SLC1A3', 'RYR3', 'FGFR3', 'GABRA2', 'CACHD1', 'SLC14A1', 'LSAMP', 'EPHB1', 'ATP1B2']"
brain excitatory neurons,"['PTPRD', 'NEGR1', 'EFNA5', 'GABRB3', 'FAT3', 'SORCS1', 'SLC8A1', 'EPHA4', 'SCN2A', 'TRHDE']"
brain inhibitory neurons,"['CNTNAP2', 'ROBO1', 'SGCZ', 'PTPRM', 'FRAS1', 'SDK1', 'SLC44A5', 'CDH13', 'CDH9', 'PLXNA4']"
brain microglial cells,"['ABCB1', 'LAMA2', 'FLT1', 'COLEC12', 'ENTPD1', 'SLC39A10', 'TMEM156', 'CD86', 'SLC7A1', 'CMKLR1']"
brain oligodendrocyte precursor cells,"['PCDH15', 'PTPRZ1', 'NLGN1', 'OPCML', 'SEMA5A', 'CHST11', 'NLGN4X', 'CHL1', 'NTNG1', 'PDGFRA']"
brain oligodendrocytes,"['PCDH9', 'PDE4B', 'SLC44A1', 'UNC5C', 'UGT8', 'PTPRK', 'GPM6B', 'HHIP', 'FGFR2', 'APLP1']"
breast adipocytes,"['CD36', 'SLC14A1', 'RAMP3', 'APLNR', 'SIGLEC5', 'TRBV12-3', 'TLR9', 'PCDHGC5', 'TRHR', 'GP5']"
breast breast glandular cells,"['ADORA1', 'SIGLEC5', 'TRBV12-3', 'TMEM26', 'TLR9', 'PCDHGC5', 'TRHR', 'GP5', 'KIR3DL1', 'UGT1A9']"
breast breast myoepithelial cells,"['EPHB3', 'CDH3', 'PCDHGC5', 'SIGLEC5', 'PCDHA11', 'TRBV12-3', 'TLR9', 'TRHR', 'GP5', 'KIR3DL1']"
breast endothelial cells,"['LRRC15', 'UNC5A', 'SIGLEC5', 'TRBV12-3', 'TLR9', 'KIR3DL1', 'UGT1A9', 'NTSR1', 'PCDHA11', 'PCDHGC5']"
breast fibroblasts,"['SLC26A5', 'SIGLEC5', 'TLR9', 'KIR3DL1', 'UGT1A9', 'PCDHGC5', 'PCDHA11', 'TNFSF18', 'NTSR1', 'TPTE']"
