Tissue	Cell type	Negative Gene Names
immune	dendritic cells	['KIR3DL1', 'PLAUR', 'IL2RA', 'TNFRSF13B', 'CD69', 'HLA-DRA', 'CD2', 'CD55', 'CD1C', 'FCGR2B', 'IL2RG', 'IGHG4', 'MME', 'SLAMF6', 'SIGLEC1', 'CD5', 'CD40', 'NCR3', 'NAAA', 'IGHG1', 'CD70', 'CD244', 'CCR7', 'LTB', 'ITGB3', 'TLR4', 'ACE', 'ICAM1', 'TLR9', 'CD22', 'THY1', 'KLRC1', 'CD7', 'CD160', 'KLRB1', 'LAIR1', 'CD72', 'PECAM1', 'FAS', 'CD80', 'TNFRSF9', 'KLRG1', 'CD163', 'FCGR3B', 'ITGAL', 'BST1', 'CD14', 'CD48', 'PDCD1', 'STAB1', 'CD79A', 'TNFRSF17', 'S1PR4', 'CD74', 'CD38', 'CLEC12A', 'SLAMF7', 'CD4', 'ITGAX', 'SELL', 'CD27', 'CMKLR1', 'CD44', 'CD79B', 'CD86', 'MS4A1', 'IL2RB', 'BSG', 'DPP4', 'SIGLEC7', 'ITGAM', 'FCGR1A', 'CD3D', 'PILRA', 'IGHM', 'MRC1', 'CD63', 'CD3G', 'IL18R1', 'KIT', 'FCER2', 'CD19', 'CD68', 'IL7R', 'CLEC2D', 'PCDH15', 'KLRF1', 'FCGR3A', 'CD36', 'SELPLG', 'CXCR3', 'CD33', 'CR2', 'HLA-DQA1', 'BTLA', 'LILRB1', 'CD28', 'TNFRSF14', 'PTPRC', 'TRAC', 'ITGA2', 'CD6']
immune	nk-cells	['LY75', 'PLAUR', 'HLA-A', 'IL2RA', 'TNFRSF13B', 'CD69', 'HLA-DRA', 'CD2', 'CD55', 'CD1C', 'FCGR2B', 'ADAM19', 'IGHG4', 'CADM1', 'CD83', 'MME', 'SLAMF6', 'SIGLEC1', 'CD5', 'CD40', 'FLT3', 'SIGLEC6', 'NAAA', 'IGHG1', 'CD70', 'CD244', 'CCR7', 'LTB', 'ITGB3', 'TLR4', 'ACE', 'ICAM1', 'TLR9', 'CD22', 'AXL', 'THY1', 'CD7', 'CD160', 'KLRB1', 'LAIR1', 'CD72', 'PECAM1', 'HLA-C', 'HLA-DPB1', 'FAS', 'CD80', 'TNFRSF9', 'CD163', 'SEMA4A', 'FCGR3B', 'ITGAL', 'HLA-B', 'BST1', 'CD14', 'CD48', 'PDCD1', 'STAB1', 'CXCL16', 'CD79A', 'HFE', 'TNFRSF17', 'HLA-DQB1', 'HLA-DRB5', 'S1PR4', 'CD74', 'CD38', 'CLEC12A', 'SIRPA', 'SLAMF7', 'CD4', 'HLA-DRB1', 'ITGAX', 'SELL', 'P2RY10', 'CD27', 'CMKLR1', 'CD44', 'CD79B', 'CD86', 'MS4A1', 'IL2RB', 'HLA-DPA1', 'BSG', 'DPP4', 'TLR3', 'ITGAM', 'FCGR1A', 'CD3D', 'PILRA', 'IGHM', 'MRC1', 'CD63', 'CD3G', 'IL18R1', 'KIT', 'FCER2', 'CD19', 'CD68', 'IL7R', 'CLEC2D', 'GPR132', 'ITGAE', 'PDCD1LG2', 'FCGR3A', 'CD36', 'CD180', 'SELPLG', 'CXCR3', 'CD33', 'CR2', 'HLA-DQA1', 'BTLA', 'CD28', 'TNFRSF14', 'CD1B', 'PTPRC', 'TRAC', 'CD6']
immune	plasma cells	['LY75', 'KIR3DL1', 'PLAUR', 'HLA-A', 'IL2RA', 'TNFRSF13B', 'CD69', 'HLA-DRA', 'CD2', 'CD55', 'CD1C', 'FCGR2B', 'IL2RG', 'ADAM19', 'IGHG4', 'CADM1', 'MME', 'CD83', 'SLAMF6', 'SIGLEC1', 'CD5', 'CD40', 'FLT3', 'NCR3', 'SIGLEC6', 'NAAA', 'IGHG1', 'CD70', 'CD244', 'CCR7', 'LTB', 'ITGB3', 'TLR4', 'ACE', 'ICAM1', 'TLR9', 'CD22', 'AXL', 'THY1', 'KLRC1', 'CD7', 'CD160', 'KLRB1', 'LAIR1', 'CD72', 'PECAM1', 'HLA-C', 'HLA-DPB1', 'FAS', 'CD80', 'TNFRSF9', 'KLRG1', 'CD163', 'SEMA4A', 'FCGR3B', 'ITGAL', 'HLA-B', 'BST1', 'CD14', 'CD48', 'PDCD1', 'STAB1', 'CXCL16', 'CD79A', 'HFE', 'TNFRSF17', 'HLA-DQB1', 'HLA-DRB5', 'S1PR4', 'CD74', 'CD38', 'CLEC12A', 'SIRPA', 'SLAMF7', 'CD4', 'HLA-DRB1', 'ITGAX', 'SELL', 'P2RY10', 'CD27', 'CMKLR1', 'CD44', 'CD79B', 'CD86', 'MS4A1', 'IL2RB', 'HLA-DPA1', 'BSG', 'DPP4', 'TLR3', 'SIGLEC7', 'ITGAM', 'FCGR1A', 'CD3D', 'PILRA', 'IGHM', 'MRC1', 'CD63', 'CD3G', 'IL18R1', 'KIT', 'FCER2', 'CD19', 'CD68', 'IL7R', 'CLEC2D', 'GPR132', 'ITGAE', 'PDCD1LG2', 'PCDH15', 'KLRF1', 'FCGR3A', 'CD36', 'CD180', 'SELPLG', 'CXCR3', 'CD33', 'CR2', 'HLA-DQA1', 'BTLA', 'LILRB1', 'CD28', 'TNFRSF14', 'CD1B', 'PTPRC', 'TRAC', 'ITGA2', 'CD6']
immune	monocytes	['LY75', 'KIR3DL1', 'HLA-A', 'IL2RA', 'TNFRSF13B', 'CD69', 'HLA-DRA', 'CD2', 'CD55', 'CD1C', 'FCGR2B', 'IL2RG', 'ADAM19', 'IGHG4', 'CADM1', 'MME', 'CD83', 'SLAMF6', 'SIGLEC1', 'CD5', 'CD40', 'FLT3', 'NCR3', 'SIGLEC6', 'IGHG1', 'NAAA', 'CD70', 'CD244', 'CCR7', 'LTB', 'TLR9', 'CD22', 'AXL', 'THY1', 'KLRC1', 'CD7', 'LAIR1', 'CD160', 'KLRB1', 'CD72', 'HLA-C', 'HLA-DPB1', 'CD80', 'TNFRSF9', 'KLRG1', 'CD163', 'SEMA4A', 'HLA-B', 'BST1', 'CD14', 'PDCD1', 'CXCL16', 'CD79A', 'HFE', 'TNFRSF17', 'HLA-DQB1', 'HLA-DRB5', 'S1PR4', 'CD74', 'CD38', 'SIRPA', 'SLAMF7', 'CD4', 'HLA-DRB1', 'ITGAX', 'P2RY10', 'CD27', 'CD79B', 'CD86', 'MS4A1', 'IL2RB', 'HLA-DPA1', 'DPP4', 'TLR3', 'SIGLEC7', 'ITGAM', 'CD3D', 'IGHM', 'CD3G', 'IL18R1', 'KIT', 'FCER2', 'CD19', 'IL7R', 'CLEC2D', 'GPR132', 'ITGAE', 'PDCD1LG2', 'PCDH15', 'KLRF1', 'FCGR3A', 'CD180', 'CXCR3', 'CD33', 'CR2', 'HLA-DQA1', 'BTLA', 'LILRB1', 'CD28', 'CD1B', 'PTPRC', 'TRAC', 'ITGA2', 'CD6']
immune	granulocytes	['LY75', 'KIR3DL1', 'PLAUR', 'HLA-A', 'IL2RA', 'TNFRSF13B', 'CD69', 'HLA-DRA', 'CD2', 'CD55', 'CD1C', 'FCGR2B', 'IL2RG', 'ADAM19', 'IGHG4', 'CADM1', 'CD83', 'MME', 'SLAMF6', 'SIGLEC1', 'CD5', 'CD40', 'FLT3', 'NCR3', 'SIGLEC6', 'NAAA', 'IGHG1', 'CD70', 'CD244', 'CCR7', 'LTB', 'ITGB3', 'TLR4', 'ACE', 'ICAM1', 'TLR9', 'CD22', 'AXL', 'THY1', 'KLRC1', 'CD7', 'CD160', 'KLRB1', 'LAIR1', 'CD72', 'PECAM1', 'HLA-C', 'HLA-DPB1', 'FAS', 'CD80', 'TNFRSF9', 'KLRG1', 'CD163', 'SEMA4A', 'FCGR3B', 'ITGAL', 'HLA-B', 'BST1', 'CD14', 'CD48', 'PDCD1', 'STAB1', 'CXCL16', 'CD79A', 'HFE', 'TNFRSF17', 'HLA-DQB1', 'HLA-DRB5', 'S1PR4', 'CD74', 'CD38', 'CLEC12A', 'SIRPA', 'SLAMF7', 'CD4', 'HLA-DRB1', 'ITGAX', 'SELL', 'P2RY10', 'CD27', 'CMKLR1', 'CD44', 'CD79B', 'CD86', 'MS4A1', 'IL2RB', 'HLA-DPA1', 'BSG', 'DPP4', 'TLR3', 'SIGLEC7', 'ITGAM', 'FCGR1A', 'CD3D', 'PILRA', 'IGHM', 'MRC1', 'CD63', 'CD3G', 'IL18R1', 'KIT', 'FCER2', 'CD19', 'CD68', 'IL7R', 'CLEC2D', 'GPR132', 'ITGAE', 'PDCD1LG2', 'PCDH15', 'KLRF1', 'FCGR3A', 'CD36', 'CD180', 'SELPLG', 'CXCR3', 'CD33', 'CR2', 'HLA-DQA1', 'BTLA', 'LILRB1', 'CD28', 'TNFRSF14', 'CD1B', 'PTPRC', 'TRAC', 'ITGA2', 'CD6']
immune	b-cells	['LY75', 'KIR3DL1', 'PLAUR', 'HLA-A', 'IL2RA', 'CD69', 'HLA-DRA', 'CD2', 'CD1C', 'FCGR2B', 'IL2RG', 'ADAM19', 'CADM1', 'CD83', 'SLAMF6', 'SIGLEC1', 'CD40', 'FLT3', 'NCR3', 'SIGLEC6', 'NAAA', 'CD244', 'CCR7', 'LTB', 'ITGB3', 'TLR4', 'ACE', 'ICAM1', 'TLR9', 'CD22', 'AXL', 'THY1', 'KLRC1', 'CD7', 'CD160', 'KLRB1', 'PECAM1', 'HLA-C', 'HLA-DPB1', 'FAS', 'KLRG1', 'CD163', 'SEMA4A', 'FCGR3B', 'ITGAL', 'HLA-B', 'CD14', 'CD48', 'STAB1', 'CXCL16', 'HFE', 'HLA-DQB1', 'HLA-DRB5', 'S1PR4', 'CD38', 'CLEC12A', 'SIRPA', 'SLAMF7', 'CD4', 'HLA-DRB1', 'ITGAX', 'SELL', 'P2RY10', 'CD27', 'CMKLR1', 'CD44', 'CD86', 'IL2RB', 'HLA-DPA1', 'BSG', 'DPP4', 'TLR3', 'SIGLEC7', 'ITGAM', 'FCGR1A', 'CD3D', 'PILRA', 'MRC1', 'CD63', 'CD3G', 'IL18R1', 'KIT', 'CD68', 'IL7R', 'CLEC2D', 'GPR132', 'ITGAE', 'PDCD1LG2', 'PCDH15', 'KLRF1', 'FCGR3A', 'CD36', 'CD180', 'SELPLG', 'CXCR3', 'CD33', 'CR2', 'HLA-DQA1', 'BTLA', 'LILRB1', 'CD28', 'TNFRSF14', 'CD1B', 'PTPRC', 'TRAC', 'ITGA2', 'CD6']
immune	macrophages	['LY75', 'KIR3DL1', 'PLAUR', 'HLA-A', 'IL2RA', 'TNFRSF13B', 'CD69', 'HLA-DRA', 'CD2', 'CD55', 'CD1C', 'FCGR2B', 'IL2RG', 'ADAM19', 'IGHG4', 'CADM1', 'MME', 'CD83', 'SLAMF6', 'SIGLEC1', 'CD5', 'CD40', 'FLT3', 'NCR3', 'SIGLEC6', 'NAAA', 'IGHG1', 'CD70', 'CD244', 'CCR7', 'LTB', 'ITGB3', 'TLR4', 'ACE', 'ICAM1', 'TLR9', 'CD22', 'AXL', 'THY1', 'KLRC1', 'CD7', 'CD160', 'KLRB1', 'LAIR1', 'CD72', 'PECAM1', 'HLA-C', 'HLA-DPB1', 'FAS', 'CD80', 'TNFRSF9', 'KLRG1', 'CD163', 'SEMA4A', 'FCGR3B', 'ITGAL', 'HLA-B', 'BST1', 'CD14', 'CD48', 'PDCD1', 'STAB1', 'CXCL16', 'CD79A', 'HFE', 'TNFRSF17', 'HLA-DQB1', 'HLA-DRB5', 'S1PR4', 'CD74', 'CD38', 'CLEC12A', 'SIRPA', 'SLAMF7', 'CD4', 'HLA-DRB1', 'ITGAX', 'SELL', 'P2RY10', 'CD27', 'CMKLR1', 'CD44', 'CD79B', 'CD86', 'MS4A1', 'IL2RB', 'HLA-DPA1', 'BSG', 'DPP4', 'TLR3', 'SIGLEC7', 'ITGAM', 'FCGR1A', 'CD3D', 'PILRA', 'IGHM', 'MRC1', 'CD63', 'CD3G', 'IL18R1', 'KIT', 'FCER2', 'CD19', 'CD68', 'IL7R', 'CLEC2D', 'GPR132', 'ITGAE', 'PDCD1LG2', 'PCDH15', 'KLRF1', 'FCGR3A', 'CD36', 'CD180', 'SELPLG', 'CXCR3', 'CD33', 'CR2', 'HLA-DQA1', 'BTLA', 'LILRB1', 'CD28', 'TNFRSF14', 'CD1B', 'PTPRC', 'TRAC', 'ITGA2', 'CD6']
small intestine	undifferentiated cells	['ALCAM', 'CDON', 'IL4R', 'MUC4', 'TLR9']
small intestine	enteroendocrine cells	['TLR9', 'IL4R', 'CDON', 'MUC4']
small intestine	paneth cells	['ALCAM', 'CDON', 'MUC4']
