Tissue	Cell type	Positive Gene Names
immune	t-cells	['IL2RA', 'CD69', 'CD2', 'CCR7', 'LTB', 'THY1', 'CD7', 'CD160', 'KLRB1', 'S1PR4', 'CD4', 'IL2RB', 'CD3D', 'CD3G', 'IL18R1', 'IL7R', 'CLEC2D', 'CD28', 'TRAC', 'CD6']
small intestine	intestinal goblet cells	['MUC4', 'CDON']
rectum	paneth cells	['TLR9', 'IL4R']
colon	paneth cells	['TLR9', 'IL4R']
eye	rod photoreceptor cells	['CNTNAP2', 'TPBG', 'NTNG1']
testis	sertoli cells	['STIM1', 'CD55', 'FAS', 'NOTCH2', 'CLU', 'KITLG']
liver	hepatocytes	['AMBP', 'CDH1', 'MME', 'FGFR4', 'ICAM1', 'LRP5', 'LEPR']
rectum	enteroendocrine cells	['ALCAM']
lung	alveolar cells type 2	['CD36']
brain	astrocytes	['ITGA1', 'F3', 'SLC14A1', 'LRP1', 'CD40', 'ABCA1', 'CCR7', 'NRP1', 'ITGA6', 'NTRK2', 'FGFR3', 'ATP1B2', 'PON2', 'CD80', 'CLU', 'LRRC8A', 'ITGA7', 'ITGB4', 'ENTPD2', 'S1PR1', 'VIM', 'HEPACAM', 'HLA-E', 'SLC15A2', 'RYR3', 'SLC1A3', 'CD44', 'CD86', 'SORL1', 'SLC6A11', 'SORCS2', 'PLXNB1', 'CA12', 'CPVL', 'PDGFRA', 'PCDH15', 'CD109', 'L1CAM']
adipose tissue	fibroblasts	['LAMA2', 'CD55', 'LRP1', 'IL1R1', 'CD40', 'DPEP1', 'THY1', 'ITGAL', 'ENTPD2', 'VIM', 'CDH11', 'FAP', 'PDGFRB', 'CD44', 'PTCH1', 'DDR2', 'PKD2', 'COL6A2', 'CTSK', 'THBS2', 'NT5E', 'HHIP', 'PDGFRA', 'SCARA5', 'PTPRC']
