cell,markers
lung endothelial cells,"['CLEC14A', 'PECAM1', 'HYAL2', 'RAMP3', 'EFNB2', 'CALCRL', 'PCDH17', 'SLCO2A1', 'PTPRB', 'EMP1']"
pbmc t-cells,"['KLRB1', 'TRAC', 'CD3D', 'KLRG1', 'CD3G', 'CCR7', 'TRBC1', 'CD2', 'CD27', 'CD28']"
small intestine intestinal goblet cells,"['FGFR2', 'MST1R', 'SIGLEC5', 'PCDHGC5', 'PCDHA11', 'PCDHA6', 'TRHR', 'TPTE', 'TMEFF1', 'PCDHGB4']"
eye horizontal cells,"['SLC29A4', 'BCAN', 'SCN2B', 'GABRA2', 'FAT3', 'SLC12A7', 'RET', 'CACNA2D2', 'GFRA2', 'ACHE']"
rectum paneth cells,"['SIGLEC5', 'PCDHGC5', 'PCDHA11', 'TRHR', 'PCDHA6', 'TPTE', 'TMEFF1', 'PCDHGB4', 'PCDHGB1', 'UGT1A9']"
liver b-cells,"['MS4A1', 'CD79A', 'CD37', 'CD79B', 'CD22', 'LTB', 'FCER2', 'CD19', 'FCRL2', 'CXCR5']"
skin macrophages,"['STAB1', 'SIGLEC1', 'TTYH3', 'TNFSF18', 'HTR2B', 'SIGLEC5', 'PCDHGC5', 'PCDHA11', 'TRHR', 'PCDHA6']"
stomach t-cells,"['CD7', 'IL7R', 'CD3D', 'CD96', 'KLRB1', 'TRBV12-3', 'CD3G', 'PRF1', 'CD2', 'TMIGD2']"
breast breast glandular cells,"['FOLR1', 'MFGE8', 'MRC1', 'SLC39A6', 'CD14', 'MUC4', 'CANT1', 'PLA2G3', 'CA12', 'CNTFR']"
endometrium macrophages,"['HLA-DRB1', 'CYBB', 'OLR1', 'CD1D', 'CD80', 'HLA-DQB1', 'CD1C', 'CD1B', 'SIGLEC5', 'TRHR']"
colon distal enterocytes,"['SLC26A2', 'TSPAN8', 'TSPAN1', 'CEACAM1', 'ANPEP', 'BSG', 'CEACAM6', 'HHLA2', 'CDH17', 'SLC6A8']"
colon paneth cells,"['ADRA2A', 'SLC2A5', 'CEACAM8', 'NPY1R', 'MSLN', 'SIGLEC5', 'PCDHGC5', 'PCDHA11', 'PCDHA6', 'TRHR']"
eye rod photoreceptor cells,"['NTM', 'ATP1A3', 'MFGE8', 'SLC4A7', 'PROM1', 'SLC6A6', 'NT5E', 'ABCA7', 'NMUR1', 'ATP6V0A1']"
testis late spermatids,"['CXCL16', 'TSPAN6', 'MFAP3L', 'ACE', 'THBS3', 'MYL6B', 'TSPAN1', 'GOLM1', 'BACE1', 'GFRA2']"
placenta fibroblasts,"['CDH3', 'SEZ6L2', 'EFNB2', 'APLP1', 'MRC2', 'GFRA2', 'FREM2', 'ITGB6', 'PODXL2', 'CDON']"
prostate fibroblasts,"['PDGFRA', 'GPM6B', 'ADRA2C', 'PTGER3', 'HHIP', 'PCDHA6', 'SIGLEC5', 'PCDHGC5', 'TRHR', 'PCDHA11']"
testis sertoli cells,"['PDGFRB', 'KCNH2', 'CSPG4', 'L1CAM', 'SIGLEC5', 'PCDHGC5', 'TRHR', 'PCDHA6', 'PCDHGB4', 'PCDHA11']"
bronchus smooth muscle cells,"['TSPAN3', 'CDH2', 'PCDH19', 'SIGLEC5', 'PCDHGC5', 'TRHR', 'TPTE', 'TMEFF1', 'PCDHA11', 'PCDHGB4']"
esophagus schwann cells,"['GPM6B', 'CDH19', 'MPZ', 'SCN7A', 'CHL1', 'L1CAM', 'NCAM1', 'GPR155', 'SORCS1', 'ERBB3']"
liver hepatocytes,"['AMBP', 'SLC39A14', 'IL1RAP', 'ELOVL6', 'SLC7A2', 'SCARB1', 'ENPP1', 'LEPR', 'UGT1A9', 'SEMA4G']"
rectum enteroendocrine cells,"['SLC29A4', 'APLP1', 'TMEM63C', 'EFNB3', 'SIGLEC5', 'PCDHGC5', 'PCDHA11', 'TRHR', 'PCDHA6', 'TPTE']"
