cell,markers
lung endothelial cells,"['PECAM1', 'CLEC14A', 'HYAL2', 'EFNB2', 'RAMP3', 'CALCRL', 'PCDH17', 'EMP1', 'SLCO2A1', 'PTPRB']"
pbmc t-cells,"['KLRB1', 'TRAC', 'CD3D', 'KLRG1', 'CD3G', 'CCR7', 'TRBC1', 'CD2', 'CD27', 'IL7R']"
small intestine intestinal goblet cells,"['FGFR2', 'MST1R', 'SLC12A2', 'FAM174B', 'EPHB2', 'SIGLEC5', 'PCDHGC5', 'PCDHA11', 'PCDHA6', 'TRHR']"
eye horizontal cells,"['SLC29A4', 'GRIA2', 'SLC12A7', 'BCAN', 'SCN2B', 'CACNA2D2', 'ACHE', 'GABRA2', 'GFRA2', 'FAT3']"
liver b-cells,"['MS4A1', 'CD79A', 'CD37', 'CD79B', 'LTB', 'CD22', 'FCER2', 'CD19', 'FCRL2', 'CXCR5']"
skin macrophages,"['STAB1', 'SIGLEC1', 'TTYH3', 'ABCA1', 'MSR1', 'TNFSF18', 'HTR2B', 'SIGLEC5', 'PCDHGC5', 'PCDHA11']"
stomach t-cells,"['CD7', 'IL7R', 'CD3D', 'CD96', 'KLRB1', 'CD3G', 'TRBV12-3', 'PRF1', 'CD2', 'TMIGD2']"
breast breast glandular cells,"['FOLR1', 'MFGE8', 'MRC1', 'SLC39A6', 'CD14', 'MUC4', 'CANT1', 'CA12', 'PLA2G3', 'CNTFR']"
colon distal enterocytes,"['SLC26A2', 'TSPAN8', 'TSPAN1', 'CEACAM1', 'BSG', 'ANPEP', 'EPCAM', 'CEACAM6', 'CDH17', 'HHLA2']"
colon paneth cells,"['CEACAM6', 'ST3GAL4', 'ADRA2A', 'SLC2A5', 'MSLN', 'LAMA3', 'CEACAM8', 'NPY1R', 'CNTFR', 'SIGLEC5']"
eye rod photoreceptor cells,"['NTM', 'ATP1A3', 'SLC4A7', 'MFGE8', 'SLC6A6', 'PROM1', 'SEZ6L2', 'ATP6V0A1', 'ABCA7', 'NT5E']"
testis late spermatids,"['CXCL16', 'TSPAN6', 'MFAP3L', 'ACE', 'THBS3', 'MYL6B', 'TSPAN1', 'GOLM1', 'BACE1', 'GFRA2']"
placenta fibroblasts,"['CDH3', 'EFNB2', 'SEZ6L2', 'APLP1', 'MRC2', 'GFRA2', 'ITGB6', 'FREM2', 'PODXL2', 'CDON']"
prostate fibroblasts,"['PDGFRA', 'GPM6B', 'ADRA2C', 'PTGER3', 'HHIP', 'PCDHA6', 'TMEM200B', 'IL13RA2', 'SIGLEC5', 'PCDHGC5']"
testis sertoli cells,"['PDGFRB', 'KCNH2', 'CSPG4', 'L1CAM', 'SIGLEC5', 'PCDHGC5', 'TRHR', 'PCDHA6', 'PCDHA11', 'PCDHGB4']"
bronchus smooth muscle cells,"['TSPAN3', 'CDH2', 'PCDH19', 'SIGLEC5', 'PCDHGC5', 'TRHR', 'PCDHA11', 'TPTE', 'TMEFF1', 'PCDHA6']"
