Tissue	Cell type	Negative Gene Names
immune	monocytes	['IGHG4', 'CD19', 'CD72', 'S1PR4', 'CD38', 'CD40', 'CD33', 'HLA-DRB5', 'GPR132', 'CD1B', 'SIGLEC7', 'CD69', 'CD79B', 'ADAM19', 'CD7', 'TNFRSF13B', 'HLA-DPA1', 'LY75', 'CXCL16', 'CD244', 'KIT', 'TLR9', 'MS4A1', 'CD6', 'SLAMF6', 'KLRC1', 'THY1', 'CD163', 'P2RY10', 'HLA-DRA', 'NCR3', 'FCGR2B', 'CD28', 'PCDH15', 'CD160', 'DPP4', 'IL2RB', 'CD1C', 'NAAA', 'CD86', 'IGHG1', 'HLA-B', 'SIGLEC1', 'CD4', 'TNFRSF17', 'CR2', 'CD3G', 'CLEC2D', 'IL18R1', 'CADM1', 'HFE', 'HLA-C', 'CD14', 'FCER2', 'FCGR3A', 'CD79A', 'CD74', 'IGHM', 'IL7R', 'CD2', 'CD70', 'HLA-A', 'IL2RA', 'ITGAE', 'CCR7', 'SIRPA', 'MME', 'SEMA4A', 'ITGAX', 'CD55', 'PDCD1LG2', 'LAIR1', 'AXL', 'HLA-DQB1', 'HLA-DQA1', 'TNFRSF9', 'CD180', 'CXCR3', 'PTPRC', 'KLRB1', 'KIR3DL1', 'LILRB1', 'TLR3', 'CD22', 'ITGA2', 'IL2RG', 'LTB', 'CD27', 'SIGLEC6', 'HLA-DRB1', 'CD3D', 'ITGAM', 'KLRG1', 'KLRF1', 'FLT3', 'BTLA', 'CD5', 'PDCD1', 'BST1', 'SLAMF7', 'HLA-DPB1', 'CD83', 'CD80', 'TRAC']
immune	dendritic cells	['IGHG4', 'CD19', 'CD72', 'S1PR4', 'CD68', 'CD38', 'CLEC12A', 'PECAM1', 'CD40', 'TLR4', 'CD33', 'SIGLEC7', 'CD69', 'CD79B', 'CD7', 'STAB1', 'TNFRSF13B', 'CD244', 'KIT', 'TLR9', 'MS4A1', 'CD6', 'SLAMF6', 'KLRC1', 'THY1', 'CD163', 'ITGAL', 'NCR3', 'HLA-DRA', 'FCGR2B', 'CD28', 'PCDH15', 'CD160', 'DPP4', 'IL2RB', 'CD1C', 'NAAA', 'CD86', 'IGHG1', 'CD4', 'SIGLEC1', 'TNFRSF17', 'CR2', 'CD3G', 'CLEC2D', 'IL18R1', 'CD14', 'FCGR3A', 'FCER2', 'CD79A', 'BSG', 'MRC1', 'CD74', 'PILRA', 'IGHM', 'IL7R', 'CD2', 'CD70', 'CD36', 'IL2RA', 'CD63', 'CCR7', 'MME', 'SELL', 'CMKLR1', 'ITGAX', 'CD55', 'LAIR1', 'HLA-DQA1', 'TNFRSF9', 'CD80', 'ITGB3', 'CXCR3', 'PTPRC', 'FAS', 'ACE', 'KLRB1', 'CD44', 'PLAUR', 'KIR3DL1', 'LILRB1', 'CD22', 'SELPLG', 'ITGA2', 'IL2RG', 'LTB', 'CD27', 'CD3D', 'FCGR1A', 'TNFRSF14', 'ITGAM', 'KLRG1', 'KLRF1', 'CD48', 'BTLA', 'CD5', 'PDCD1', 'BST1', 'SLAMF7', 'FCGR3B', 'ICAM1', 'TRAC']
immune	nk-cells	['IGHG4', 'CD19', 'CD72', 'S1PR4', 'CD68', 'CD38', 'CLEC12A', 'PECAM1', 'CD40', 'TLR4', 'CD33', 'HLA-DRB5', 'GPR132', 'CD1B', 'CD69', 'CD79B', 'ADAM19', 'CD7', 'STAB1', 'TNFRSF13B', 'HLA-DPA1', 'LY75', 'CXCL16', 'CD244', 'KIT', 'TLR9', 'MS4A1', 'CD6', 'SLAMF6', 'THY1', 'CD163', 'ITGAL', 'P2RY10', 'HLA-DRA', 'FCGR2B', 'CD28', 'CD160', 'DPP4', 'IL2RB', 'CD1C', 'NAAA', 'CD86', 'IGHG1', 'HLA-B', 'CD4', 'SIGLEC1', 'TNFRSF17', 'CR2', 'CD3G', 'CLEC2D', 'IL18R1', 'CADM1', 'HFE', 'HLA-C', 'CD14', 'FCGR3A', 'FCER2', 'CD79A', 'BSG', 'MRC1', 'CD74', 'PILRA', 'IGHM', 'IL7R', 'CD2', 'CD70', 'CD36', 'HLA-A', 'IL2RA', 'CD63', 'ITGAE', 'CCR7', 'SIRPA', 'MME', 'SEMA4A', 'SELL', 'CMKLR1', 'ITGAX', 'CD55', 'PDCD1LG2', 'LAIR1', 'AXL', 'HLA-DQB1', 'HLA-DQA1', 'TNFRSF9', 'CD180', 'CD80', 'ITGB3', 'CXCR3', 'PTPRC', 'FAS', 'ACE', 'KLRB1', 'CD44', 'PLAUR', 'TLR3', 'CD22', 'SELPLG', 'LTB', 'CD27', 'SIGLEC6', 'HLA-DRB1', 'CD3D', 'FCGR1A', 'TNFRSF14', 'ITGAM', 'CD48', 'FLT3', 'BTLA', 'CD5', 'PDCD1', 'BST1', 'SLAMF7', 'HLA-DPB1', 'FCGR3B', 'CD83', 'ICAM1', 'TRAC']
immune	granulocytes	['IGHG4', 'CD19', 'CD72', 'S1PR4', 'CD68', 'CD38', 'CLEC12A', 'PECAM1', 'CD40', 'TLR4', 'CD33', 'HLA-DRB5', 'GPR132', 'CD1B', 'SIGLEC7', 'CD69', 'CD79B', 'ADAM19', 'CD7', 'STAB1', 'TNFRSF13B', 'HLA-DPA1', 'LY75', 'CXCL16', 'CD244', 'KIT', 'TLR9', 'MS4A1', 'CD6', 'SLAMF6', 'THY1', 'KLRC1', 'CD163', 'ITGAL', 'P2RY10', 'HLA-DRA', 'NCR3', 'FCGR2B', 'CD28', 'PCDH15', 'CD160', 'DPP4', 'IL2RB', 'CD1C', 'NAAA', 'CD86', 'IGHG1', 'HLA-B', 'CD4', 'SIGLEC1', 'TNFRSF17', 'CR2', 'CD3G', 'CLEC2D', 'IL18R1', 'CADM1', 'HFE', 'HLA-C', 'CD14', 'FCGR3A', 'FCER2', 'CD79A', 'BSG', 'MRC1', 'CD74', 'PILRA', 'IGHM', 'IL7R', 'CD2', 'CD70', 'CD36', 'HLA-A', 'IL2RA', 'CD63', 'ITGAE', 'CCR7', 'SIRPA', 'MME', 'SEMA4A', 'SELL', 'CMKLR1', 'ITGAX', 'CD55', 'PDCD1LG2', 'LAIR1', 'AXL', 'HLA-DQB1', 'HLA-DQA1', 'TNFRSF9', 'CD180', 'CD80', 'ITGB3', 'CXCR3', 'PTPRC', 'FAS', 'ACE', 'KLRB1', 'CD44', 'PLAUR', 'KIR3DL1', 'LILRB1', 'TLR3', 'CD22', 'SELPLG', 'ITGA2', 'IL2RG', 'LTB', 'CD27', 'SIGLEC6', 'HLA-DRB1', 'CD3D', 'FCGR1A', 'TNFRSF14', 'ITGAM', 'KLRG1', 'KLRF1', 'CD48', 'FLT3', 'BTLA', 'CD5', 'PDCD1', 'BST1', 'SLAMF7', 'HLA-DPB1', 'FCGR3B', 'CD83', 'ICAM1', 'TRAC']
immune	b-cells	['S1PR4', 'CD68', 'CD38', 'CLEC12A', 'PECAM1', 'CD40', 'TLR4', 'CD33', 'HLA-DRB5', 'GPR132', 'CD1B', 'SIGLEC7', 'CD69', 'ADAM19', 'CD7', 'STAB1', 'HLA-DPA1', 'LY75', 'CXCL16', 'CD244', 'KIT', 'TLR9', 'CD6', 'SLAMF6', 'KLRC1', 'THY1', 'CD163', 'ITGAL', 'P2RY10', 'HLA-DRA', 'NCR3', 'FCGR2B', 'CD28', 'PCDH15', 'CD160', 'DPP4', 'IL2RB', 'CD1C', 'NAAA', 'CD86', 'HLA-B', 'CD4', 'SIGLEC1', 'CR2', 'CD3G', 'CLEC2D', 'IL18R1', 'CADM1', 'HFE', 'HLA-C', 'CD14', 'FCGR3A', 'BSG', 'MRC1', 'PILRA', 'IL7R', 'CD2', 'CD36', 'HLA-A', 'IL2RA', 'CD63', 'ITGAE', 'CCR7', 'SIRPA', 'SEMA4A', 'SELL', 'CMKLR1', 'ITGAX', 'PDCD1LG2', 'AXL', 'HLA-DQB1', 'HLA-DQA1', 'CD180', 'ITGB3', 'CXCR3', 'PTPRC', 'FAS', 'ACE', 'KLRB1', 'CD44', 'PLAUR', 'KIR3DL1', 'LILRB1', 'TLR3', 'CD22', 'SELPLG', 'ITGA2', 'IL2RG', 'LTB', 'SIGLEC6', 'HLA-DRB1', 'CD27', 'CD3D', 'FCGR1A', 'TNFRSF14', 'ITGAM', 'KLRG1', 'KLRF1', 'CD48', 'FLT3', 'BTLA', 'SLAMF7', 'HLA-DPB1', 'FCGR3B', 'CD83', 'ICAM1', 'TRAC']
immune	macrophages	['IGHG4', 'CD19', 'S1PR4', 'CD68', 'CD38', 'CLEC12A', 'PECAM1', 'CD40', 'TLR4', 'CD33', 'HLA-DRB5', 'GPR132', 'CD1B', 'SIGLEC7', 'CD69', 'CD79B', 'ADAM19', 'CD7', 'STAB1', 'TNFRSF13B', 'HLA-DPA1', 'LY75', 'CXCL16', 'CD244', 'KIT', 'TLR9', 'MS4A1', 'CD6', 'SLAMF6', 'KLRC1', 'THY1', 'CD163', 'ITGAL', 'P2RY10', 'HLA-DRA', 'NCR3', 'FCGR2B', 'CD28', 'PCDH15', 'CD160', 'DPP4', 'IL2RB', 'CD1C', 'NAAA', 'CD86', 'IGHG1', 'HLA-B', 'CD4', 'SIGLEC1', 'TNFRSF17', 'CR2', 'CD3G', 'CLEC2D', 'ICAM1', 'IL18R1', 'CADM1', 'HFE', 'HLA-C', 'CD14', 'FCGR3A', 'FCER2', 'CD79A', 'BSG', 'MRC1', 'CD74', 'PILRA', 'IGHM', 'IL7R', 'CD2', 'CD70', 'CD36', 'HLA-A', 'IL2RA', 'CD63', 'ITGAE', 'CCR7', 'SIRPA', 'MME', 'SEMA4A', 'SELL', 'CMKLR1', 'ITGAX', 'CD55', 'PDCD1LG2', 'LAIR1', 'AXL', 'HLA-DQB1', 'HLA-DQA1', 'TNFRSF9', 'CD180', 'CD80', 'ITGB3', 'CXCR3', 'PTPRC', 'FAS', 'ACE', 'KLRB1', 'CD44', 'PLAUR', 'KIR3DL1', 'LILRB1', 'TLR3', 'CD22', 'SELPLG', 'ITGA2', 'IL2RG', 'LTB', 'CD27', 'SIGLEC6', 'HLA-DRB1', 'CD3D', 'FCGR1A', 'TNFRSF14', 'ITGAM', 'KLRG1', 'KLRF1', 'CD48', 'FLT3', 'BTLA', 'CD5', 'PDCD1', 'BST1', 'SLAMF7', 'HLA-DPB1', 'FCGR3B', 'CD83', 'CD72', 'TRAC']
immune	plasma cells	['IGHG4', 'CD19', 'S1PR4', 'CD68', 'CD38', 'CLEC12A', 'PECAM1', 'CD40', 'TLR4', 'CD33', 'HLA-DRB5', 'GPR132', 'CD1B', 'SIGLEC7', 'CD69', 'CD79B', 'ADAM19', 'CD7', 'STAB1', 'TNFRSF13B', 'HLA-DPA1', 'LY75', 'CXCL16', 'CD244', 'KIT', 'TLR9', 'MS4A1', 'CD6', 'SLAMF6', 'KLRC1', 'THY1', 'CD163', 'ITGAL', 'P2RY10', 'HLA-DRA', 'NCR3', 'FCGR2B', 'CD28', 'PCDH15', 'CD160', 'DPP4', 'IL2RB', 'CD1C', 'NAAA', 'CD86', 'IGHG1', 'HLA-B', 'CD4', 'SIGLEC1', 'TNFRSF17', 'CR2', 'CD3G', 'CLEC2D', 'ICAM1', 'IL18R1', 'CADM1', 'HFE', 'HLA-C', 'CD14', 'FCGR3A', 'FCER2', 'CD79A', 'BSG', 'MRC1', 'CD74', 'PILRA', 'IGHM', 'CD2', 'IL7R', 'CD70', 'CD36', 'HLA-A', 'IL2RA', 'CD63', 'ITGAE', 'CCR7', 'SIRPA', 'MME', 'SEMA4A', 'SELL', 'CMKLR1', 'ITGAX', 'CD55', 'PDCD1LG2', 'LAIR1', 'AXL', 'HLA-DQB1', 'HLA-DQA1', 'TNFRSF9', 'CD180', 'CD80', 'ITGB3', 'CXCR3', 'PTPRC', 'FAS', 'ACE', 'KLRB1', 'CD44', 'PLAUR', 'KIR3DL1', 'LILRB1', 'TLR3', 'CD22', 'SELPLG', 'ITGA2', 'IL2RG', 'LTB', 'CD27', 'SIGLEC6', 'HLA-DRB1', 'CD3D', 'FCGR1A', 'TNFRSF14', 'ITGAM', 'KLRG1', 'KLRF1', 'CD48', 'FLT3', 'BTLA', 'CD5', 'PDCD1', 'BST1', 'SLAMF7', 'HLA-DPB1', 'FCGR3B', 'CD83', 'CD72', 'TRAC']
small intestine	enteroendocrine cells	['IL4R', 'MUC4', 'CDON', 'TLR9']
small intestine	proximal enterocytes	['MUC4', 'IL4R', 'CDON', 'TLR9', 'ALCAM']
small intestine	paneth cells	['MUC4', 'CDON', 'ALCAM']
