Tissue	Cell type	Positive Gene Names
immune	t-cells	['LTB', 'KLRB1', 'CD6', 'S1PR4', 'CD160', 'CD2', 'IL2RB', 'IL2RA', 'THY1', 'CD69', 'TRAC', 'CD7', 'CD4', 'CCR7', 'IL7R', 'CD28', 'CLEC2D', 'CD3G', 'IL18R1', 'CD3D']
small intestine	intestinal goblet cells	['MUC4', 'CDON']
rectum	paneth cells	['IL4R', 'TLR9']
colon	paneth cells	['IL4R', 'TLR9']
eye	rod photoreceptor cells	['TPBG', 'NTNG1', 'CNTNAP2']
testis	sertoli cells	['NOTCH2', 'FAS', 'STIM1', 'CD55', 'CLU', 'KITLG']
liver	hepatocytes	['LEPR', 'FGFR4', 'MME', 'AMBP', 'CDH1', 'ICAM1', 'LRP5']
rectum	enteroendocrine cells	['ALCAM']
lung	alveolar cells type 2	['CD36']
brain	astrocytes	['SORL1', 'NRP1', 'FGFR3', 'HEPACAM', 'SLC14A1', 'PLXNB1', 'ATP1B2', 'LRRC8A', 'PON2', 'NTRK2', 'ITGA1', 'CLU', 'HLA-E', 'ITGA7', 'SLC6A11', 'CA12', 'RYR3', 'S1PR1', 'CPVL', 'ABCA1', 'SORCS2', 'PCDH15', 'CD109', 'CCR7', 'L1CAM', 'F3', 'ITGB4', 'CD86', 'SLC1A3', 'SLC15A2', 'CD44', 'CD80', 'PDGFRA', 'VIM', 'ENTPD2', 'LRP1', 'CD40', 'ITGA6']
adipose tissue	fibroblasts	['PTPRC', 'CTSK', 'PTCH1', 'SCARA5', 'CD55', 'COL6A2', 'ITGAL', 'CDH11', 'DDR2', 'THY1', 'THBS2', 'FAP', 'DPEP1', 'HHIP', 'PDGFRB', 'LAMA2', 'CD44', 'PDGFRA', 'VIM', 'ENTPD2', 'LRP1', 'NT5E', 'CD40', 'PKD2', 'IL1R1']
immune	monocytes	['BSG', 'SIGLEC1', 'PTPRC', 'ITGAM', 'PLAUR', 'CD48', 'FCGR2B', 'CD33', 'STAB1', 'ITGAL', 'FCGR1A', 'NAAA', 'HLA-DRA', 'CXCR3', 'CD163', 'CD38', 'CD14', 'CD36', 'ICAM1', 'TNFRSF14', 'CD63', 'SELPLG', 'MRC1', 'CD7', 'CD4', 'CLEC12A', 'CMKLR1', 'FAS', 'ITGAX', 'CD86', 'PECAM1', 'CD44', 'FCGR3A', 'TLR4', 'FCGR3B', 'ACE', 'CD40', 'CD244', 'CD68', 'SELL', 'ITGB3', 'PILRA', 'CD1C']
bronchus	ionocytes	['SLC12A2', 'SLC9A7']
vascular	smooth muscle cells	['PDGFRB']
liver	kupffer cells	['TLR4', 'SLC15A3', 'CD163', 'TLR9', 'HFE', 'CLEC1B', 'MSR1', 'CD38', 'CD14']
heart muscle	cardiomyocytes	['AQP1', 'CD36', 'SIRPA', 'SLC5A1', 'NOTCH1']
liver	cholangiocytes	['TACSTD2', 'EPCAM', 'AQP1', 'GGT1', 'GGT7', 'ITGB4', 'SLC4A2', 'JAG1', 'ALPL']
colon	enteroendocrine cells	['ALCAM']
vascular	endothelial cells	['APLNR', 'FLT1', 'CD55', 'ICAM2', 'NPR1', 'ECE1', 'TEK', 'CLEC14A', 'TSPAN8', 'DPP4', 'STAB1', 'SEMA7A', 'PLVAP', 'AQP1', 'TGFBR2', 'CLEC1B', 'MCAM', 'THSD1', 'CD36', 'ICAM1', 'CALCRL', 'PROCR', 'CDH5', 'PTPRB', 'NRP2', 'SLC2A1', 'THBD', 'SLC7A5', 'PODXL', 'PECAM1', 'HYAL2', 'EMP1', 'ENG', 'CD82', 'CD34', 'RAMP3', 'HSPG2', 'VCAM1', 'LIFR', 'ITGB3', 'TIE1', 'FLT4']
eye	cone photoreceptor cells	['TPBG', 'NTNG1', 'CNTNAP2']
small intestine	enteroendocrine cells	['ALCAM']
small intestine	paneth cells	['IL4R', 'TLR9']
skin	langerhans cells	['HLA-DQA2', 'PTPRC', 'HLA-DQB2', 'CD80', 'TLR2', 'FCGR2A', 'FCGR1A', 'TLR4', 'GPNMB', 'EPCAM', 'HLA-DQB1', 'HLA-DRA', 'HLA-DRB1', 'TLR9', 'HLA-DQA1', 'HLA-DRB5', 'ACHE']
adipose tissue	adipocytes	['SLC1A5', 'SLC2A4', 'COL6A2', 'MPZL1', 'TNFRSF9', 'ADRB2', 'TLR2', 'STEAP4', 'AOC3', 'EGFR', 'TMEM26', 'TLR4', 'ADAM12', 'FZD4', 'LRP1']
pancreas	ductal cells	['TACSTD2', 'TSPAN8', 'AQP1', 'AMBP']
lung	alveolar cells type 1	['P2RX7', 'GPRC5A', 'EMP2', 'ICAM1']
rectum	intestinal goblet cells	['MUC4', 'CDON']
colon	intestinal goblet cells	['MUC4', 'CDON']
testis	leydig cells	['EDNRA', 'PTCH1', 'PLAUR', 'THBS2']
ovary	granulosa cells	['GAPDH', 'MCAM']
breast	adipocytes	['SLC1A5', 'SLC2A4', 'COL6A2', 'MPZL1', 'TNFRSF9', 'ADRB2', 'TLR2', 'STEAP4', 'AOC3', 'EGFR', 'TMEM26', 'TLR4', 'ADAM12', 'FZD4', 'LRP1']
immune	macrophages	['MCEMP1', 'ATP1B1', 'CD74', 'P2RX7', 'CD180', 'CD19', 'MERTK', 'GPR132', 'CLEC5A', 'MME', 'CPM', 'HLA-DPA1', 'NCEH1', 'SIGLEC1', 'PTPRC', 'CD83', 'CTSK', 'MRC1', 'EMP1', 'CD33', 'CD80', 'TLR2', 'ITGAM', 'FCGR2A', 'CDH5', 'CXCL16', 'HSP90AA1', 'STAB1', 'FCGR1A', 'FCGR3A', 'ITGAL', 'NAAA', 'NRP2', 'LILRA5', 'CYBB', 'GPNMB', 'TLR4', 'SLC15A3', 'CD274', 'CD4', 'PLAUR', 'CD34', 'VIM', 'CD200', 'ADAM8', 'CCR7', 'HLA-DRA', 'HLA-DRB1', 'CMKLR1', 'SLAMF7', 'GPC4', 'IFNAR2', 'CD163', 'CD84', 'CD40', 'ITGAX', 'HFE', 'TFRC', 'COLEC12', 'MSR1', 'CD68', 'CSF2RA', 'CSF2RB', 'SELL', 'CD55', 'CD14', 'CD36', 'CSF1', 'CD86', 'OLR1', 'CD200R1', 'CD1C', 'ICAM1', 'IL1R2']
immune	b-cells	['LTB', 'CD74', 'CD19', 'FCER2', 'TNFRSF13B', 'PTPRC', 'CD79B', 'LAIR1', 'SLAMF6', 'IGHG1', 'CD70', 'TLR9', 'CD55', 'CD5', 'CD2', 'IGHG4', 'MME', 'BST1', 'CR2', 'HLA-DRA', 'IGHM', 'CD22', 'CD38', 'CD14', 'TNFRSF9', 'CD79A', 'MS4A1', 'CD72', 'CD69', 'BTLA', 'TNFRSF17', 'CCR7', 'HLA-DQA1', 'CD86', 'CD80', 'PDCD1', 'CD40', 'CD27']
pbmc	platelets	['BSG', 'LTBR', 'ITGB2', 'SCARB1', 'LRRC32', 'CD48', 'TLR1', 'HFE', 'ICAM2', 'CD40LG', 'ITGB1', 'ITGAV', 'FCGR2A', 'HLA-A', 'PTGS2', 'CCR4', 'CLEC1B', 'CD14', 'CD36', 'LAMP2', 'CD63', 'CD69', 'CD47', 'SELPLG', 'CD109', 'F11R', 'GP5', 'SELP', 'ESAM', 'ADAM10', 'ITGA2', 'PECAM1', 'CD151', 'ITGA2B', 'CD226', 'TLR4', 'CXCR1', 'CD84', 'CD40', 'ITGA6', 'ITGB3', 'F2R', 'CRLF2']
skin	melanocytes	['ATP1B1', 'ENPP1', 'CTNS', 'GPNMB', 'SLC45A2', 'DCT', 'TYRP1']
