cell,markers
adipose tissue adipocytes,"['S1PR1', 'F2RL3', 'HYAL2', 'CDH5', 'CD36', 'TIE1']"
adipose tissue schwann cells,"['HLA-DRA', 'CD74', 'HLA-DPA1', 'HLA-DPB1', 'HLA-DRB1', 'HLA-DQB1', 'HLA-DQA1', 'CPVL', 'HLA-DRB5', 'HLA-DQA2']"
bone marrow erythroid cells,"['MINPP1', 'ITGA4', 'SLC22A16', 'KCNH2', 'ITGA2B']"
brain astrocytes,"['GPC5', 'SLC1A3', 'FGFR3', 'SLC14A1']"
brain excitatory neurons,"['PTPRD', 'EPHA5', 'GABRB3', 'EFNA5', 'NEGR1', 'ZDHHC23', 'ITGA8', 'EPHA4', 'UNC5A', 'ICAM5']"
brain inhibitory neurons,"['SGCZ', 'CNTNAP2', 'THSD7A', 'CDH13', 'ROBO1', 'SDK1', 'KIT', 'CDH9', 'TRHDE', 'NTNG1']"
brain microglial cells,"['ABCB1', 'TMEM156']"
brain oligodendrocyte precursor cells,"['PCDH15', 'PTPRZ1', 'LRRN1', 'BCAN', 'CSPG5']"
brain oligodendrocytes,"['SLC44A1', 'UGT8', 'HHIP', 'LRP2', 'ABCA2', 'APLP1', 'TTYH2', 'ITGA2', 'FGFR2', 'CD22']"
breast fibroblasts,"['COL6A2', 'CTSK', 'ABCA8', 'ADAM12', 'MXRA8', 'PCDH18', 'MRC2', 'PLXDC1', 'SCARA5', 'LRRN4CL']"
bronchus ciliated cells,"['CHST6', 'CACNG6', 'IL5RA']"
colon distal enterocytes,"['SLC26A2', 'CEACAM1', 'TSPAN1', 'ANPEP', 'HHLA2', 'TSPAN8', 'CLCN2', 'CEACAM6']"
endometrium ciliated cells,"['IL5RA', 'CHST6', 'CACNG6']"
endometrium endometrial stromal cells,"['MME', 'PTCH1', 'ADRA2C', 'HTR2B']"
endometrium endothelial cells,"['PCDH17', 'TEK', 'CDH5', 'APLNR', 'CLEC14A', 'TIE1', 'SEMA6B']"
esophagus endothelial cells,"['PLVAP', 'AQP1', 'PECAM1', 'RAMP3', 'FLT4', 'SLCO2A1', 'S1PR1', 'PKHD1L1', 'IL3RA', 'CALCRL']"
esophagus fibroblasts,"['CTSK', 'SCARA5', 'PDGFRA', 'GPNMB', 'PLXDC1', 'THBS2', 'LRRN4CL', 'CADM3', 'ABCA8', 'FAP']"
esophagus schwann cells,"['GPM6B', 'CDH19', 'MPZ', 'L1CAM', 'CHL1', 'SCN7A', 'GPR155', 'NCAM1', 'GRIK3', 'PLXNB3']"
esophagus smooth muscle cells,"['ITGA7', 'EDNRA', 'ADRA2A', 'SUSD5', 'MRGPRF', 'AOC3']"
esophagus squamous epithelial cells,"['DSC2', 'LYPD3', 'CLCA2', 'EPHA1']"
eye cone photoreceptor cells,['CHRNA3']
eye horizontal cells,['SCN2B']
eye muller glia cells,"['CLU', 'GPM6B', 'SLC1A3', 'SLITRK2', 'SLC15A3', 'FAM171A2', 'FGFRL1', 'ADORA1']"
eye rod photoreceptor cells,"['NTM', 'NMUR1']"
fallopian tube ciliated cells,"['IL5RA', 'CACNG6']"
fallopian tube endothelial cells,"['PLVAP', 'AQP1', 'SELP', 'SLCO2A1', 'CLEC14A', 'SEMA6B', 'ABCB1']"
fallopian tube fibroblasts,"['THY1', 'SLC2A1', 'PDGFRA', 'AGTR2', 'MRC2', 'SCARA5', 'IGDCC4']"
fallopian tube lymphatic endothelial cells,"['FLT4', 'LRRC15']"
fallopian tube neutrophils,"['FCGR3B', 'RNF149', 'PTPRC', 'VNN2', 'SELL', 'IL1R2', 'FCGR2A', 'CXCR1', 'PLXNC1', 'MME']"
fallopian tube smooth muscle cells,"['MCAM', 'CSPG4', 'ITGA7', 'SUSD5', 'ITGA8', 'SLC2A4', 'SLITRK3', 'AOC3', 'PTGIR']"
heart muscle cardiomyocytes,"['SLC8A1', 'CDH2', 'SLC2A4', 'SLC5A1', 'CLCN6', 'ANO5', 'SGCD', 'FNDC5', 'KCNH2']"
heart muscle endothelial cells,"['AQP1', 'PECAM1', 'CDH5', 'PODXL', 'SLC14A1', 'PTPRB', 'FLT1', 'CLEC14A', 'TEK', 'ITGA1']"
heart muscle fibroblasts,"['CDH19', 'SCARA5', 'SCN7A', 'ABCA8', 'PDGFRA']"
heart muscle smooth muscle cells,"['SUSD5', 'MCAM', 'SCN4B', 'SIGLEC12', 'CSPG4', 'ITGA8']"
immune b-cells,"['MS4A1', 'CD79B', 'FCER2', 'LY9', 'CD79A', 'CD22', 'CD19', 'CXCR5', 'CR2', 'BTLA']"
immune dendritic cells,"['CXCR3', 'IL3RA', 'SLC15A4', 'EPHB1', 'RET', 'SEMA7A']"
immune granulocytes,"['KIT', 'SIGLEC6', 'KIAA1549', 'NTRK1', 'CRLF2', 'KCNH2']"
immune macrophages,"['HLA-DRA', 'IL1R2', 'CD163', 'HLA-DQA1', 'MCEMP1', 'CD68', 'MRC1', 'HLA-DRB5', 'OLR1', 'CD1C']"
immune monocytes,"['LILRA5', 'PILRA']"
immune nk-cells,['KIR3DL1']
immune plasma cells,"['IGHA1', 'IGHG1', 'IGHM', 'IGHG2', 'TNFRSF17', 'CD38', 'FCRL5', 'BSCL2', 'TLR9']"
