Tissue	Cell type	Negative Gene Names
immune	plasma cells	['PDCD1', 'CD70', 'LTB', 'CD74', 'HLA-DQA1', 'CD1C', 'CD244', 'LAIR1', 'KLRB1', 'KLRF1', 'TNFRSF14', 'ITGAM', 'CR2', 'CD1B', 'CD6', 'FAS', 'CD36', 'CD80', 'SLAMF7', 'ITGA2', 'CD14', 'TLR9', 'CCR7', 'SELL', 'KIT', 'ITGAX', 'HLA-DPA1', 'IGHG1', 'SIGLEC1', 'BTLA', 'CMKLR1', 'KLRG1', 'CD68', 'KIR3DL1', 'CD3G', 'TLR4', 'SLAMF6', 'CD2', 'CD48', 'CXCL16', 'CD69', 'ICAM1', 'CXCR3', 'ITGAE', 'STAB1', 'GPR132', 'P2RY10', 'CD3D', 'TNFRSF9', 'CD79B', 'MME', 'HLA-B', 'IGHG4', 'HLA-DQB1', 'TNFRSF17', 'FLT3', 'FCGR3A', 'TLR3', 'TNFRSF13B', 'TRAC', 'CD5', 'IL2RA', 'CD55', 'CLEC12A', 'FCER2', 'LILRB1', 'SELPLG', 'IL2RB', 'CLEC2D', 'PCDH15', 'ITGAL', 'NCR3', 'ADAM19', 'MRC1', 'CD63', 'CD180', 'BSG', 'HLA-DRA', 'CD72', 'ITGB3', 'CD79A', 'MS4A1', 'PLAUR', 'CD7', 'HLA-A', 'HLA-DPB1', 'CD4', 'SIGLEC6', 'CD38', 'CD44', 'FCGR3B', 'HLA-DRB1', 'FCGR1A', 'DPP4', 'LY75', 'NAAA', 'HFE', 'THY1', 'ACE', 'KLRC1', 'CD83', 'IL18R1', 'BST1', 'IGHM', 'CD27', 'SIGLEC7', 'CD28', 'CD33', 'IL7R', 'AXL', 'FCGR2B', 'CD19', 'CD40', 'IL2RG', 'HLA-DRB5', 'SEMA4A', 'CD160', 'PTPRC', 'CD163', 'PILRA', 'CD22', 'PECAM1', 'CADM1', 'PDCD1LG2', 'SIRPA', 'HLA-C', 'S1PR4', 'CD86']
immune	b-cells	['LTB', 'HLA-DQA1', 'CD1C', 'CD244', 'KLRB1', 'KLRF1', 'TNFRSF14', 'ITGAM', 'CR2', 'CD1B', 'CD6', 'FAS', 'CD36', 'SLAMF7', 'ITGA2', 'CD14', 'TLR9', 'CCR7', 'SELL', 'KIT', 'ITGAX', 'HLA-DPA1', 'SIGLEC1', 'BTLA', 'CMKLR1', 'KLRG1', 'CD68', 'KIR3DL1', 'CD3G', 'TLR4', 'SLAMF6', 'CD2', 'CD48', 'CXCL16', 'CD69', 'ICAM1', 'CXCR3', 'ITGAE', 'STAB1', 'GPR132', 'P2RY10', 'CD3D', 'HLA-B', 'HLA-DQB1', 'FLT3', 'FCGR3A', 'TLR3', 'TRAC', 'IL2RA', 'CLEC12A', 'LILRB1', 'SELPLG', 'IL2RB', 'CLEC2D', 'PCDH15', 'ITGAL', 'NCR3', 'ADAM19', 'MRC1', 'CD63', 'CD180', 'BSG', 'HLA-DRA', 'ITGB3', 'PLAUR', 'CD7', 'HLA-A', 'HLA-DPB1', 'CD4', 'SIGLEC6', 'CD38', 'CD44', 'FCGR3B', 'HLA-DRB1', 'FCGR1A', 'DPP4', 'LY75', 'NAAA', 'HFE', 'THY1', 'ACE', 'KLRC1', 'CD83', 'IL18R1', 'CD27', 'SIGLEC7', 'CD28', 'CD33', 'IL7R', 'AXL', 'FCGR2B', 'CD40', 'IL2RG', 'HLA-DRB5', 'SEMA4A', 'CD160', 'PTPRC', 'CD163', 'PILRA', 'CD22', 'PECAM1', 'CADM1', 'PDCD1LG2', 'SIRPA', 'HLA-C', 'S1PR4', 'CD86']
immune	macrophages	['PDCD1', 'CD70', 'LTB', 'CD74', 'HLA-DQA1', 'CD1C', 'CD244', 'LAIR1', 'KLRB1', 'KLRF1', 'TNFRSF14', 'ITGAM', 'CR2', 'CD1B', 'CD6', 'FAS', 'CD36', 'CD80', 'SLAMF7', 'ITGA2', 'CD14', 'TLR9', 'CCR7', 'SELL', 'KIT', 'ITGAX', 'HLA-DPA1', 'IGHG1', 'SIGLEC1', 'BTLA', 'CMKLR1', 'KLRG1', 'CD68', 'KIR3DL1', 'CD3G', 'TLR4', 'SLAMF6', 'CD2', 'CD48', 'CXCL16', 'CD69', 'ICAM1', 'CXCR3', 'ITGAE', 'STAB1', 'GPR132', 'P2RY10', 'CD3D', 'TNFRSF9', 'CD79B', 'MME', 'HLA-B', 'IGHG4', 'HLA-DQB1', 'TNFRSF17', 'FLT3', 'FCGR3A', 'TLR3', 'TNFRSF13B', 'TRAC', 'CD5', 'IL2RA', 'CD55', 'CLEC12A', 'FCER2', 'LILRB1', 'SELPLG', 'IL2RB', 'CLEC2D', 'PCDH15', 'ITGAL', 'NCR3', 'ADAM19', 'MRC1', 'CD63', 'CD180', 'BSG', 'HLA-DRA', 'CD72', 'ITGB3', 'CD79A', 'MS4A1', 'PLAUR', 'CD7', 'HLA-A', 'HLA-DPB1', 'CD4', 'SIGLEC6', 'CD38', 'CD44', 'FCGR3B', 'HLA-DRB1', 'FCGR1A', 'DPP4', 'LY75', 'NAAA', 'HFE', 'THY1', 'ACE', 'KLRC1', 'CD83', 'IL18R1', 'BST1', 'IGHM', 'CD27', 'SIGLEC7', 'CD28', 'CD33', 'IL7R', 'AXL', 'FCGR2B', 'CD19', 'CD40', 'IL2RG', 'HLA-DRB5', 'SEMA4A', 'CD160', 'PTPRC', 'CD163', 'PILRA', 'CD22', 'PECAM1', 'CADM1', 'PDCD1LG2', 'SIRPA', 'HLA-C', 'S1PR4', 'CD86']
immune	dendritic cells	['PDCD1', 'CD70', 'LTB', 'CD74', 'HLA-DQA1', 'CD1C', 'CD244', 'KLRB1', 'LAIR1', 'KLRF1', 'TNFRSF14', 'ITGAM', 'CR2', 'CD6', 'FAS', 'CD36', 'CD80', 'SLAMF7', 'ITGA2', 'CD14', 'TLR9', 'CCR7', 'SELL', 'KIT', 'ITGAX', 'IGHG1', 'SIGLEC1', 'BTLA', 'CMKLR1', 'KLRG1', 'CD68', 'KIR3DL1', 'CD3G', 'TLR4', 'SLAMF6', 'CD2', 'CD48', 'CD69', 'ICAM1', 'CXCR3', 'STAB1', 'CD3D', 'TNFRSF9', 'CD79B', 'MME', 'IGHG4', 'TNFRSF17', 'FCGR3A', 'TNFRSF13B', 'TRAC', 'CD5', 'IL2RA', 'CD55', 'CLEC12A', 'FCER2', 'LILRB1', 'SELPLG', 'IL2RB', 'CLEC2D', 'PCDH15', 'ITGAL', 'NCR3', 'MRC1', 'CD63', 'BSG', 'HLA-DRA', 'CD72', 'ITGB3', 'CD79A', 'MS4A1', 'PLAUR', 'CD7', 'CD4', 'CD38', 'CD44', 'FCGR3B', 'FCGR1A', 'DPP4', 'NAAA', 'THY1', 'ACE', 'KLRC1', 'IL18R1', 'BST1', 'IGHM', 'CD27', 'SIGLEC7', 'CD28', 'CD33', 'IL7R', 'FCGR2B', 'CD19', 'CD40', 'IL2RG', 'CD160', 'PTPRC', 'CD163', 'PILRA', 'CD22', 'PECAM1', 'S1PR4', 'CD86']
immune	granulocytes	['PDCD1', 'CD70', 'LTB', 'CD74', 'HLA-DQA1', 'CD1C', 'CD244', 'KLRB1', 'LAIR1', 'KLRF1', 'TNFRSF14', 'ITGAM', 'CR2', 'CD1B', 'CD6', 'FAS', 'CD36', 'CD80', 'SLAMF7', 'ITGA2', 'CD14', 'TLR9', 'CCR7', 'SELL', 'KIT', 'ITGAX', 'HLA-DPA1', 'IGHG1', 'SIGLEC1', 'BTLA', 'CMKLR1', 'KLRG1', 'CD68', 'KIR3DL1', 'CD3G', 'TLR4', 'SLAMF6', 'CD2', 'CD48', 'CXCL16', 'CD69', 'ICAM1', 'CXCR3', 'ITGAE', 'STAB1', 'GPR132', 'P2RY10', 'CD3D', 'TNFRSF9', 'CD79B', 'MME', 'HLA-B', 'IGHG4', 'HLA-DQB1', 'TNFRSF17', 'FLT3', 'FCGR3A', 'TLR3', 'TNFRSF13B', 'TRAC', 'CD5', 'IL2RA', 'CD55', 'CLEC12A', 'FCER2', 'LILRB1', 'SELPLG', 'IL2RB', 'CLEC2D', 'PCDH15', 'ITGAL', 'NCR3', 'ADAM19', 'MRC1', 'CD63', 'CD180', 'BSG', 'HLA-DRA', 'CD72', 'ITGB3', 'CD79A', 'MS4A1', 'PLAUR', 'CD7', 'HLA-A', 'HLA-DPB1', 'CD4', 'SIGLEC6', 'CD38', 'CD44', 'FCGR3B', 'HLA-DRB1', 'FCGR1A', 'DPP4', 'LY75', 'NAAA', 'HFE', 'THY1', 'ACE', 'KLRC1', 'CD83', 'IL18R1', 'BST1', 'IGHM', 'CD27', 'SIGLEC7', 'CD28', 'CD33', 'IL7R', 'AXL', 'FCGR2B', 'CD19', 'CD40', 'IL2RG', 'HLA-DRB5', 'SEMA4A', 'CD160', 'PTPRC', 'CD163', 'PILRA', 'CD22', 'PECAM1', 'CADM1', 'PDCD1LG2', 'SIRPA', 'HLA-C', 'S1PR4', 'CD86']
immune	nk-cells	['PDCD1', 'CD70', 'LTB', 'CD74', 'HLA-DQA1', 'CD1C', 'CD244', 'KLRB1', 'LAIR1', 'TNFRSF14', 'ITGAM', 'CR2', 'CD1B', 'CD6', 'FAS', 'CD36', 'CD80', 'SLAMF7', 'CD14', 'TLR9', 'CCR7', 'SELL', 'KIT', 'ITGAX', 'HLA-DPA1', 'IGHG1', 'SIGLEC1', 'BTLA', 'CMKLR1', 'CD68', 'CD3G', 'TLR4', 'SLAMF6', 'CD2', 'CD48', 'CXCL16', 'CD69', 'ICAM1', 'CXCR3', 'ITGAE', 'STAB1', 'GPR132', 'P2RY10', 'CD3D', 'TNFRSF9', 'CD79B', 'MME', 'HLA-B', 'IGHG4', 'HLA-DQB1', 'TNFRSF17', 'FLT3', 'FCGR3A', 'TLR3', 'TNFRSF13B', 'TRAC', 'CD5', 'IL2RA', 'CD55', 'CLEC12A', 'FCER2', 'SELPLG', 'IL2RB', 'CLEC2D', 'ITGAL', 'ADAM19', 'MRC1', 'CD63', 'CD180', 'BSG', 'HLA-DRA', 'CD72', 'ITGB3', 'CD79A', 'MS4A1', 'PLAUR', 'CD7', 'HLA-A', 'HLA-DPB1', 'CD4', 'SIGLEC6', 'CD38', 'CD44', 'FCGR3B', 'HLA-DRB1', 'FCGR1A', 'DPP4', 'LY75', 'NAAA', 'HFE', 'THY1', 'ACE', 'CD83', 'IL18R1', 'BST1', 'IGHM', 'CD27', 'CD28', 'CD33', 'IL7R', 'AXL', 'FCGR2B', 'CD19', 'CD40', 'HLA-DRB5', 'SEMA4A', 'CD160', 'PTPRC', 'CD163', 'PILRA', 'CD22', 'PECAM1', 'CADM1', 'PDCD1LG2', 'SIRPA', 'HLA-C', 'S1PR4', 'CD86']
immune	monocytes	['PDCD1', 'CD70', 'LTB', 'CD74', 'HLA-DQA1', 'CD1C', 'CD244', 'LAIR1', 'KLRB1', 'KLRF1', 'ITGAM', 'CR2', 'CD1B', 'CD6', 'CD80', 'SLAMF7', 'ITGA2', 'CD14', 'TLR9', 'CCR7', 'KIT', 'ITGAX', 'HLA-DPA1', 'IGHG1', 'SIGLEC1', 'BTLA', 'KLRG1', 'KIR3DL1', 'CD3G', 'SLAMF6', 'CD2', 'CXCL16', 'CD69', 'ITGAE', 'CXCR3', 'P2RY10', 'GPR132', 'CD3D', 'TNFRSF9', 'CD79B', 'MME', 'HLA-B', 'IGHG4', 'HLA-DQB1', 'TNFRSF17', 'FLT3', 'FCGR3A', 'TLR3', 'TNFRSF13B', 'TRAC', 'CD5', 'IL2RA', 'CD55', 'FCER2', 'LILRB1', 'IL2RB', 'CLEC2D', 'PCDH15', 'NCR3', 'ADAM19', 'CD180', 'HLA-DRA', 'CD72', 'CD79A', 'MS4A1', 'HLA-A', 'CD7', 'HLA-DPB1', 'CD4', 'SIGLEC6', 'CD38', 'HLA-DRB1', 'DPP4', 'LY75', 'NAAA', 'HFE', 'THY1', 'KLRC1', 'CD83', 'IL18R1', 'BST1', 'IGHM', 'CD27', 'SIGLEC7', 'CD28', 'CD33', 'IL7R', 'AXL', 'FCGR2B', 'CD19', 'CD40', 'IL2RG', 'HLA-DRB5', 'SEMA4A', 'CD160', 'PTPRC', 'CD163', 'CD22', 'CADM1', 'PDCD1LG2', 'SIRPA', 'HLA-C', 'S1PR4', 'CD86']
small intestine	enteroendocrine cells	['IL4R', 'CDON', 'TLR9', 'MUC4']
small intestine	paneth cells	['CDON', 'ALCAM', 'MUC4']
small intestine	undifferentiated cells	['TLR9', 'MUC4', 'IL4R', 'CDON', 'ALCAM']
