Tissue	Cell type	Positive Gene Names
immune	t-cells	['LTB', 'KLRB1', 'CD6', 'CCR7', 'CD3G', 'CD2', 'CD69', 'CD3D', 'TRAC', 'IL2RA', 'IL2RB', 'CLEC2D', 'CD7', 'CD4', 'THY1', 'IL18R1', 'CD28', 'IL7R', 'CD160', 'S1PR4']
small intestine	intestinal goblet cells	['MUC4', 'CDON']
rectum	paneth cells	['IL4R', 'TLR9']
colon	paneth cells	['IL4R', 'TLR9']
eye	rod photoreceptor cells	['TPBG', 'CNTNAP2', 'NTNG1']
testis	sertoli cells	['KITLG', 'CLU', 'NOTCH2', 'FAS', 'STIM1', 'CD55']
liver	hepatocytes	['ICAM1', 'MME', 'CDH1', 'AMBP', 'FGFR4', 'LEPR', 'LRP5']
rectum	enteroendocrine cells	['ALCAM']
lung	alveolar cells type 2	['CD36']
brain	astrocytes	['ITGA6', 'PDGFRA', 'CD80', 'CCR7', 'ITGA1', 'SLC15A2', 'F3', 'SORL1', 'PLXNB1', 'ITGA7', 'HLA-E', 'L1CAM', 'ITGB4', 'SLC14A1', 'NRP1', 'ATP1B2', 'ABCA1', 'CD109', 'PCDH15', 'LRRC8A', 'CLU', 'ENTPD2', 'VIM', 'SORCS2', 'RYR3', 'SLC1A3', 'CD44', 'SLC6A11', 'CPVL', 'S1PR1', 'CA12', 'PON2', 'FGFR3', 'NTRK2', 'CD40', 'HEPACAM', 'LRP1', 'CD86']
adipose tissue	fibroblasts	['PTCH1', 'PDGFRA', 'SCARA5', 'COL6A2', 'CTSK', 'DPEP1', 'FAP', 'PDGFRB', 'THBS2', 'DDR2', 'HHIP', 'CD55', 'IL1R1', 'ITGAL', 'ENTPD2', 'VIM', 'CDH11', 'CD44', 'PKD2', 'THY1', 'LAMA2', 'CD40', 'PTPRC', 'NT5E', 'LRP1']
immune	monocytes	['CD1C', 'CD244', 'TNFRSF14', 'ITGAM', 'FAS', 'CD36', 'CD14', 'SELL', 'ITGAX', 'SIGLEC1', 'CMKLR1', 'CD68', 'TLR4', 'CD48', 'ICAM1', 'CXCR3', 'STAB1', 'FCGR3A', 'CLEC12A', 'SELPLG', 'ITGAL', 'MRC1', 'CD63', 'BSG', 'HLA-DRA', 'ITGB3', 'PLAUR', 'CD7', 'CD4', 'CD38', 'CD44', 'FCGR3B', 'FCGR1A', 'NAAA', 'ACE', 'CD33', 'FCGR2B', 'CD40', 'PTPRC', 'CD163', 'PILRA', 'PECAM1', 'CD86']
bronchus	ionocytes	['SLC12A2', 'SLC9A7']
vascular	smooth muscle cells	['PDGFRB']
liver	kupffer cells	['HFE', 'CLEC1B', 'SLC15A3', 'TLR9', 'CD14', 'MSR1', 'CD163', 'TLR4', 'CD38']
heart muscle	cardiomyocytes	['CD36', 'NOTCH1', 'AQP1', 'SLC5A1', 'SIRPA']
