cell,markers
adipose tissue adipocytes,"['S1PR1', 'HYAL2', 'F2RL3', 'PECAM1', 'ICAM2', 'CDH5', 'ITPRIP', 'TIE1', 'ADRB2', 'FLT1']"
adipose tissue fibroblasts,"['TRAC', 'SIGLEC5', 'TLR9', 'TPTE', 'HTR1D', 'SIGLEC12', 'PCDHGC5', 'UGT1A9', 'KIR2DL3', 'PCDHA11']"
adipose tissue schwann cells,"['HLA-DRA', 'CD74', 'HLA-DPA1', 'HLA-DPB1', 'HLA-DRB1', 'HLA-DQB1', 'HLA-DQA1', 'CPVL', 'HLA-DRB5', 'AREG']"
adipose tissue smooth muscle cells,"['SUCNR1', 'SIGLEC5', 'PCDHA11', 'TRHR', 'TLR9', 'PCDHGC5', 'GP5', 'TPTE', 'TMEFF1', 'KIR2DL3']"
bone marrow erythroid cells,"['ITGA4', 'TFRC', 'MINPP1', 'CD38', 'ITGA2B', 'KCNH2', 'ATP6V0A2', 'SLC22A16', 'CSF2RB', 'P2RX1']"
brain astrocytes,"['GPC5', 'SLC1A3', 'FGFR3', 'SLC14A1', 'GABRA2', 'CACHD1', 'ATP1B2', 'CD38', 'HEPACAM', 'SLC15A2']"
brain excitatory neurons,"['PTPRD', 'NEGR1', 'SLC8A1', 'EFNA5', 'EPHA5', 'GABRB3', 'SORCS1', 'CDH10', 'ITGA8', 'LAMA2']"
brain inhibitory neurons,"['CNTNAP2', 'SGCZ', 'CDH13', 'ROBO1', 'THSD7A', 'SDK1', 'TRHDE', 'CDH9', 'KIT', 'NTNG1']"
brain microglial cells,"['ABCB1', 'COLEC12', 'FLT1', 'ENTPD1', 'TMEM156', 'CD86', 'CMKLR1', 'LPAR5', 'LILRB1', 'KCNK17']"
brain oligodendrocyte precursor cells,"['PCDH15', 'PTPRZ1', 'SEMA5A', 'CHST11', 'LRRN1', 'PDGFRA', 'NLGN4X', 'BCAN', 'CSPG5', 'IL1RAP']"
brain oligodendrocytes,"['SLC44A1', 'PDE4B', 'PCDH9', 'UGT8', 'UNC5C', 'HHIP', 'APLP1', 'ABCA2', 'GPM6B', 'FGFR2']"
breast adipocytes,"['AQP1', 'SLC14A1', 'RAMP3', 'CD36', 'APLNR', 'SELP', 'CYSLTR1', 'SUCNR1', 'PCDHGC5', 'SIGLEC5']"
breast breast glandular cells,"['FOLR1', 'MRC1', 'CD14', 'MFGE8', 'SLC39A6', 'MUC4', 'CANT1', 'PLA2G3', 'CA12', 'CNTFR']"
breast breast myoepithelial cells,"['SIGLEC5', 'TRHR', 'PCDHGC5', 'PCDHA11', 'TLR9', 'PCDHA6', 'TPTE', 'GP5', 'TMEFF1', 'HTR1D']"
breast endothelial cells,"['LRRC15', 'SIGLEC5', 'TLR9', 'TPTE', 'PCDHA11', 'PCDHGC5', 'UGT1A9', 'PCDHA6', 'NTSR1', 'KIR3DL1']"
breast fibroblasts,"['GPR174', 'SLC26A5', 'PCDH20', 'SLC6A11', 'SIGLEC5', 'TLR9', 'TPTE', 'SIGLEC12', 'PCDHGC5', 'HTR1D']"
breast smooth muscle cells,"['SIGLEC5', 'TRHR', 'TLR9', 'TPTE', 'PCDHGC5', 'GP5', 'KIR2DL3', 'TMEFF1', 'PCDHA11', 'UGT1A9']"
bronchus basal respiratory cells,"['BCAM', 'ITGB6', 'CDH3', 'LAMA3', 'CLCA2', 'FAP', 'RAET1G', 'CD109', 'ITGAV', 'SLC2A9']"
bronchus ciliated cells,"['CHST6', 'SIGLEC5', 'PCDHGC5', 'TRHR', 'TLR9', 'TPTE', 'PCDHA11', 'PCDHA6', 'TMEFF1', 'PCDHGB4']"
bronchus club cells,"['CEACAM6', 'SLC6A14', 'CLEC2B', 'CDCP1', 'SLC6A8', 'SLC6A6', 'SIGLEC5', 'PCDHGC5', 'TRHR', 'PCDHGB1']"
bronchus ionocytes,"['PCDHA11', 'SIGLEC5', 'PCDHGC5', 'TRHR', 'PCDHA6', 'TLR9', 'TPTE', 'TMEFF1', 'PCDHGB4', 'GP5']"
bronchus smooth muscle cells,"['ITGB7', 'SIGLEC5', 'TRHR', 'TLR9', 'PCDHGC5', 'TPTE', 'TMEFF1', 'GP5', 'KIR2DL3', 'UGT1A9']"
colon distal enterocytes,"['SLC26A2', 'TSPAN8', 'TSPAN1', 'CEACAM1', 'BSG', 'ANPEP', 'CEACAM6', 'HHLA2', 'EMP1', 'CDH17']"
colon enteroendocrine cells,"['SIGLEC5', 'PCDHGC5', 'PCDHA11', 'PCDHA6', 'TRHR', 'GP5', 'TPTE', 'TMEFF1', 'PCDHGB4', 'PCDHGB1']"
colon intestinal goblet cells,"['SIGLEC5', 'PCDHGC5', 'PCDHA11', 'PCDHA6', 'TRHR', 'GP5', 'TPTE', 'TMEFF1', 'PCDHGB4', 'PCDHGB1']"
colon paneth cells,"['ADRA2A', 'SLC2A5', 'MSLN', 'CEACAM8', 'NPY1R', 'CNTFR', 'SIGLEC5', 'PCDHGC5', 'PCDHA11', 'PCDHA6']"
colon undifferentiated cells,"['DCBLD2', 'KITLG', 'NTSR1', 'LRFN1', 'ELFN2', 'SIGLEC5', 'PCDHGC5', 'PCDHA11', 'PCDHA6', 'TRHR']"
endometrium ciliated cells,"['SIGLEC5', 'PCDHGC5', 'TRHR', 'TLR9', 'TPTE', 'PCDHA11', 'SIGLEC12', 'TNFSF18', 'UGT1A9', 'PCDHA6']"
endometrium endometrial stromal cells,"['MME', 'APCDD1', 'PTCH1', 'PDGFRA', 'MXRA8', 'ADRA2C', 'HTR2B', 'CDH11', 'GABRA2', 'ENPP1']"
endometrium endothelial cells,"['SIGLEC5', 'TLR9', 'TPTE', 'PCDHA11', 'PCDHA6', 'PCDHGC5', 'UGT1A9', 'NTSR1', 'KIR3DL1', 'SIGLEC12']"
endometrium glandular and luminal cells,"['CLU', 'IL6ST', 'SLC26A2', 'CPM', 'ENPP3', 'MUC16', 'PLAUR', 'SLC39A14', 'DPP4', 'SLC7A2']"
endometrium smooth muscle cells,"['SIGLEC5', 'PCDHGC5', 'PCDHA11', 'TRHR', 'TLR9', 'TPTE', 'GP5', 'UGT1A9', 'KIR2DL3', 'KIR3DL1']"
esophagus basal squamous epithelial cells,"['IL1R2', 'SLC7A5', 'SLC7A1', 'CDH3', 'SLC6A15', 'TNFSF18', 'CD200R1', 'SIGLEC5', 'PCDHGC5', 'PCDHA6']"
esophagus endothelial cells,"['GP5', 'SIGLEC5', 'PCDHA11', 'TLR9', 'TPTE', 'PCDHA6', 'PCDHGC5', 'UGT1A9', 'NTSR1', 'KIR3DL1']"
