Tissue	Cell type	Negative Gene Names
immune	granulocytes	['FCER2', 'CD72', 'BSG', 'KLRB1', 'DPP4', 'ICAM1', 'IL2RG', 'CD33', 'CD55', 'HLA-B', 'KLRF1', 'AXL', 'HLA-A', 'CD38', 'FAS', 'MS4A1', 'SLAMF7', 'IL2RA', 'PCDH15', 'CD6', 'HLA-DPA1', 'CD163', 'CD3G', 'TNFRSF17', 'KLRC1', 'SIGLEC1', 'CD70', 'SELPLG', 'IGHG1', 'CD3D', 'IL18R1', 'NCR3', 'CLEC2D', 'CR2', 'TNFRSF13B', 'SIRPA', 'MRC1', 'LTB', 'S1PR4', 'ITGAX', 'CD80', 'ADAM19', 'PILRA', 'ITGB3', 'ITGAL', 'GPR132', 'SIGLEC7', 'FCGR3B', 'KIR3DL1', 'FCGR2B', 'CD28', 'CD22', 'CD160', 'TNFRSF14', 'SELL', 'CMKLR1', 'HFE', 'HLA-DPB1', 'PECAM1', 'PDCD1LG2', 'HLA-DRB5', 'ACE', 'CD1B', 'CD79B', 'TLR4', 'HLA-DQA1', 'CD7', 'ITGA2', 'STAB1', 'THY1', 'CD86', 'HLA-DQB1', 'LILRB1', 'CD244', 'IL2RB', 'TLR9', 'CD5', 'SIGLEC6', 'FLT3', 'NAAA', 'IGHM', 'P2RY10', 'CD68', 'CD74', 'CD27', 'TRAC', 'CD48', 'BST1', 'HLA-C', 'TNFRSF9', 'CD4', 'CADM1', 'CD19', 'CCR7', 'IGHG4', 'CD180', 'ITGAM', 'ITGAE', 'CD83', 'CD14', 'FCGR3A', 'CLEC12A', 'BTLA', 'MME', 'CD63', 'CD36', 'FCGR1A', 'LY75', 'KLRG1', 'SLAMF6', 'CD79A', 'HLA-DRB1', 'KIT', 'IL7R', 'CD40', 'CD1C', 'HLA-DRA', 'CD44', 'TLR3', 'PLAUR', 'LAIR1', 'PDCD1', 'CXCL16', 'SEMA4A', 'CXCR3', 'CD69', 'PTPRC', 'CD2']
immune	b-cells	['BSG', 'KLRB1', 'DPP4', 'IL2RG', 'ICAM1', 'CD33', 'HLA-B', 'KLRF1', 'AXL', 'HLA-A', 'CD38', 'FAS', 'SLAMF7', 'IL2RA', 'PCDH15', 'CD6', 'HLA-DPA1', 'CD163', 'CD3G', 'KLRC1', 'SIGLEC1', 'SELPLG', 'CD3D', 'IL18R1', 'NCR3', 'CLEC2D', 'CR2', 'SIRPA', 'MRC1', 'LTB', 'S1PR4', 'ITGAX', 'ADAM19', 'PILRA', 'ITGB3', 'ITGAL', 'GPR132', 'SIGLEC7', 'FCGR3B', 'KIR3DL1', 'FCGR2B', 'CD28', 'CD22', 'CD160', 'TNFRSF14', 'SELL', 'CMKLR1', 'HFE', 'HLA-DPB1', 'PECAM1', 'PDCD1LG2', 'HLA-DRB5', 'ACE', 'CD1B', 'TLR4', 'HLA-DQA1', 'CD7', 'ITGA2', 'STAB1', 'THY1', 'CD86', 'HLA-DQB1', 'LILRB1', 'CD244', 'IL2RB', 'TLR9', 'SIGLEC6', 'FLT3', 'NAAA', 'P2RY10', 'CD68', 'CD27', 'TRAC', 'CD48', 'HLA-C', 'CD4', 'CADM1', 'CCR7', 'CD180', 'ITGAM', 'ITGAE', 'CD83', 'CD14', 'FCGR3A', 'CLEC12A', 'BTLA', 'CD63', 'CD36', 'FCGR1A', 'LY75', 'KLRG1', 'SLAMF6', 'HLA-DRB1', 'KIT', 'IL7R', 'CD40', 'CD1C', 'HLA-DRA', 'CD44', 'TLR3', 'PLAUR', 'CXCL16', 'SEMA4A', 'CXCR3', 'CD69', 'PTPRC', 'CD2']
immune	macrophages	['FCER2', 'CD72', 'BSG', 'KLRB1', 'DPP4', 'ICAM1', 'IL2RG', 'CD33', 'CD55', 'HLA-B', 'KLRF1', 'AXL', 'HLA-A', 'CD38', 'FAS', 'MS4A1', 'SLAMF7', 'IL2RA', 'PCDH15', 'CD6', 'HLA-DPA1', 'CD163', 'CD3G', 'TNFRSF17', 'KLRC1', 'SIGLEC1', 'CD70', 'SELPLG', 'IGHG1', 'CD3D', 'IL18R1', 'NCR3', 'CLEC2D', 'CR2', 'TNFRSF13B', 'SIRPA', 'MRC1', 'LTB', 'S1PR4', 'ITGAX', 'CD80', 'ADAM19', 'PILRA', 'ITGB3', 'ITGAL', 'GPR132', 'SIGLEC7', 'FCGR3B', 'KIR3DL1', 'FCGR2B', 'CD28', 'CD22', 'CD160', 'TNFRSF14', 'SELL', 'CMKLR1', 'HFE', 'HLA-DPB1', 'PECAM1', 'PDCD1LG2', 'HLA-DRB5', 'ACE', 'CD1B', 'CD79B', 'TLR4', 'HLA-DQA1', 'CD7', 'ITGA2', 'STAB1', 'THY1', 'CD86', 'HLA-DQB1', 'LILRB1', 'CD244', 'IL2RB', 'TLR9', 'CD5', 'SIGLEC6', 'FLT3', 'NAAA', 'IGHM', 'P2RY10', 'CD68', 'CD74', 'CD27', 'TRAC', 'CD48', 'BST1', 'HLA-C', 'TNFRSF9', 'CD4', 'CADM1', 'CD19', 'CCR7', 'IGHG4', 'CD180', 'ITGAM', 'ITGAE', 'CD83', 'CD14', 'FCGR3A', 'CLEC12A', 'BTLA', 'MME', 'CD63', 'CD36', 'FCGR1A', 'LY75', 'KLRG1', 'SLAMF6', 'CD79A', 'HLA-DRB1', 'KIT', 'IL7R', 'CD40', 'CD1C', 'HLA-DRA', 'CD44', 'TLR3', 'PLAUR', 'LAIR1', 'PDCD1', 'CXCL16', 'SEMA4A', 'CXCR3', 'CD69', 'PTPRC', 'CD2']
immune	plasma cells	['FCER2', 'CD72', 'BSG', 'KLRB1', 'DPP4', 'ICAM1', 'IL2RG', 'CD33', 'CD55', 'HLA-B', 'KLRF1', 'AXL', 'HLA-A', 'CD38', 'FAS', 'MS4A1', 'SLAMF7', 'IL2RA', 'PCDH15', 'CD6', 'HLA-DPA1', 'CD163', 'CD3G', 'TNFRSF17', 'KLRC1', 'SIGLEC1', 'CD70', 'SELPLG', 'IGHG1', 'CD3D', 'IL18R1', 'NCR3', 'CLEC2D', 'CR2', 'TNFRSF13B', 'SIRPA', 'LTB', 'MRC1', 'S1PR4', 'ITGAX', 'CD80', 'ADAM19', 'PILRA', 'ITGB3', 'ITGAL', 'GPR132', 'SIGLEC7', 'FCGR3B', 'KIR3DL1', 'FCGR2B', 'CD28', 'CD22', 'CD160', 'TNFRSF14', 'SELL', 'CMKLR1', 'HFE', 'HLA-DPB1', 'PECAM1', 'PDCD1LG2', 'HLA-DRB5', 'ACE', 'CD1B', 'CD79B', 'TLR4', 'HLA-DQA1', 'CD7', 'ITGA2', 'STAB1', 'THY1', 'CD86', 'HLA-DQB1', 'LILRB1', 'CD244', 'IL2RB', 'TLR9', 'CD5', 'SIGLEC6', 'FLT3', 'NAAA', 'IGHM', 'P2RY10', 'CD68', 'CD74', 'CD27', 'TRAC', 'CD48', 'BST1', 'HLA-C', 'TNFRSF9', 'CD4', 'CADM1', 'CD19', 'CCR7', 'IGHG4', 'CD180', 'ITGAM', 'ITGAE', 'CD83', 'CD14', 'FCGR3A', 'CLEC12A', 'BTLA', 'MME', 'CD63', 'CD36', 'FCGR1A', 'LY75', 'KLRG1', 'SLAMF6', 'CD79A', 'HLA-DRB1', 'KIT', 'IL7R', 'CD40', 'CD1C', 'HLA-DRA', 'CD44', 'TLR3', 'PLAUR', 'LAIR1', 'PDCD1', 'CXCL16', 'SEMA4A', 'CXCR3', 'CD69', 'PTPRC', 'CD2']
immune	monocytes	['FCER2', 'CD72', 'KLRB1', 'DPP4', 'IL2RG', 'HLA-B', 'CD55', 'CD33', 'KLRF1', 'AXL', 'HLA-A', 'CD38', 'SLAMF7', 'MS4A1', 'IL2RA', 'PCDH15', 'CD6', 'HLA-DPA1', 'CD163', 'CD3G', 'TNFRSF17', 'KLRC1', 'SIGLEC1', 'CD70', 'IGHG1', 'CD3D', 'IL18R1', 'NCR3', 'CLEC2D', 'CR2', 'TNFRSF13B', 'SIRPA', 'LTB', 'S1PR4', 'ITGAX', 'CD80', 'ADAM19', 'GPR132', 'SIGLEC7', 'KIR3DL1', 'FCGR2B', 'CD28', 'CD22', 'CD160', 'HFE', 'HLA-DPB1', 'PDCD1LG2', 'HLA-DRB5', 'CD1B', 'CD79B', 'HLA-DQA1', 'CD7', 'ITGA2', 'THY1', 'CD86', 'HLA-DQB1', 'LILRB1', 'CD244', 'IL2RB', 'TLR9', 'CD5', 'SIGLEC6', 'FLT3', 'NAAA', 'IGHM', 'P2RY10', 'CD74', 'CD27', 'TRAC', 'BST1', 'HLA-C', 'TNFRSF9', 'CD4', 'CADM1', 'CD19', 'CCR7', 'IGHG4', 'CD180', 'ITGAE', 'CD83', 'ITGAM', 'CD14', 'FCGR3A', 'BTLA', 'MME', 'LY75', 'KLRG1', 'SLAMF6', 'CD79A', 'HLA-DRB1', 'KIT', 'IL7R', 'CD40', 'HLA-DRA', 'CD1C', 'TLR3', 'LAIR1', 'PDCD1', 'CXCL16', 'SEMA4A', 'CXCR3', 'CD69', 'PTPRC', 'CD2']
immune	dendritic cells	['FCER2', 'CD72', 'BSG', 'KLRB1', 'DPP4', 'ICAM1', 'IL2RG', 'CD33', 'CD55', 'KLRF1', 'CD38', 'FAS', 'MS4A1', 'SLAMF7', 'IL2RA', 'PCDH15', 'CD6', 'CD163', 'CD3G', 'TNFRSF17', 'KLRC1', 'SIGLEC1', 'CD70', 'SELPLG', 'IGHG1', 'CD3D', 'IL18R1', 'NCR3', 'CLEC2D', 'CR2', 'TNFRSF13B', 'MRC1', 'LTB', 'S1PR4', 'ITGAX', 'CD80', 'PILRA', 'ITGB3', 'ITGAL', 'SIGLEC7', 'FCGR3B', 'KIR3DL1', 'FCGR2B', 'CD28', 'CD22', 'CD160', 'TNFRSF14', 'SELL', 'CMKLR1', 'PECAM1', 'ACE', 'CD79B', 'TLR4', 'HLA-DQA1', 'CD7', 'ITGA2', 'STAB1', 'THY1', 'CD86', 'LILRB1', 'CD244', 'IL2RB', 'TLR9', 'CD5', 'NAAA', 'IGHM', 'CD68', 'CD74', 'CD27', 'TRAC', 'CD48', 'BST1', 'TNFRSF9', 'CD4', 'CD19', 'IGHG4', 'CCR7', 'ITGAM', 'CD14', 'FCGR3A', 'CLEC12A', 'BTLA', 'MME', 'CD63', 'CD36', 'FCGR1A', 'KLRG1', 'SLAMF6', 'CD79A', 'KIT', 'IL7R', 'CD40', 'CD1C', 'HLA-DRA', 'CD44', 'PLAUR', 'LAIR1', 'PDCD1', 'CXCR3', 'CD69', 'PTPRC', 'CD2']
immune	nk-cells	['FCER2', 'CD72', 'BSG', 'KLRB1', 'DPP4', 'ICAM1', 'CD33', 'CD55', 'HLA-B', 'AXL', 'HLA-A', 'CD38', 'FAS', 'MS4A1', 'SLAMF7', 'IL2RA', 'CD6', 'HLA-DPA1', 'CD163', 'CD3G', 'TNFRSF17', 'SIGLEC1', 'CD70', 'SELPLG', 'IGHG1', 'CD3D', 'IL18R1', 'CLEC2D', 'CR2', 'TNFRSF13B', 'SIRPA', 'MRC1', 'LTB', 'S1PR4', 'ITGAX', 'CD80', 'ADAM19', 'PILRA', 'ITGB3', 'ITGAL', 'GPR132', 'FCGR3B', 'FCGR2B', 'CD28', 'CD22', 'CD160', 'TNFRSF14', 'SELL', 'CMKLR1', 'HFE', 'HLA-DPB1', 'PECAM1', 'PDCD1LG2', 'HLA-DRB5', 'ACE', 'CD1B', 'CD79B', 'TLR4', 'HLA-DQA1', 'CD7', 'STAB1', 'THY1', 'CD86', 'HLA-DQB1', 'CD244', 'IL2RB', 'TLR9', 'CD5', 'SIGLEC6', 'FLT3', 'NAAA', 'IGHM', 'P2RY10', 'CD68', 'CD74', 'CD27', 'TRAC', 'CD48', 'BST1', 'HLA-C', 'TNFRSF9', 'CD4', 'CADM1', 'CD19', 'CCR7', 'IGHG4', 'CD180', 'ITGAM', 'ITGAE', 'CD83', 'CD14', 'FCGR3A', 'CLEC12A', 'BTLA', 'MME', 'CD63', 'CD36', 'FCGR1A', 'LY75', 'SLAMF6', 'CD79A', 'HLA-DRB1', 'KIT', 'IL7R', 'CD40', 'CD1C', 'HLA-DRA', 'CD44', 'TLR3', 'PLAUR', 'LAIR1', 'PDCD1', 'CXCL16', 'SEMA4A', 'CXCR3', 'CD69', 'PTPRC', 'CD2']
small intestine	undifferentiated cells	['CDON', 'MUC4', 'ALCAM', 'IL4R', 'TLR9']
small intestine	proximal enterocytes	['CDON', 'MUC4', 'ALCAM', 'IL4R', 'TLR9']
small intestine	paneth cells	['CDON', 'ALCAM', 'MUC4']
