Tissue	Cell type	Positive Gene Names
immune	t-cells	['KLRB1', 'IL2RA', 'CD6', 'CD3G', 'CD3D', 'IL18R1', 'CLEC2D', 'LTB', 'S1PR4', 'CD28', 'CD160', 'CD7', 'THY1', 'IL2RB', 'TRAC', 'CD4', 'CCR7', 'IL7R', 'CD69', 'CD2']
small intestine	intestinal goblet cells	['CDON', 'MUC4']
rectum	paneth cells	['IL4R', 'TLR9']
colon	paneth cells	['IL4R', 'TLR9']
eye	rod photoreceptor cells	['CNTNAP2', 'NTNG1', 'TPBG']
testis	sertoli cells	['STIM1', 'NOTCH2', 'CD55', 'FAS', 'CLU', 'KITLG']
liver	hepatocytes	['ICAM1', 'LEPR', 'CDH1', 'FGFR4', 'AMBP', 'LRP5', 'MME']
rectum	enteroendocrine cells	['ALCAM']
lung	alveolar cells type 2	['CD36']
brain	astrocytes	['CPVL', 'ATP1B2', 'SLC1A3', 'PCDH15', 'CLU', 'RYR3', 'LRP1', 'ITGA1', 'ITGA6', 'CD80', 'L1CAM', 'SLC14A1', 'ITGB4', 'S1PR1', 'HEPACAM', 'SLC15A2', 'CD86', 'PON2', 'SLC6A11', 'NTRK2', 'ITGA7', 'ENTPD2', 'FGFR3', 'PLXNB1', 'SORCS2', 'ABCA1', 'CD109', 'CCR7', 'CA12', 'SORL1', 'LRRC8A', 'HLA-E', 'VIM', 'CD40', 'CD44', 'PDGFRA', 'F3', 'NRP1']
adipose tissue	fibroblasts	['CD55', 'THBS2', 'PTCH1', 'LRP1', 'NT5E', 'DPEP1', 'PKD2', 'COL6A2', 'ITGAL', 'LAMA2', 'HHIP', 'THY1', 'CTSK', 'PDGFRB', 'IL1R1', 'CDH11', 'ENTPD2', 'FAP', 'DDR2', 'SCARA5', 'VIM', 'CD40', 'CD44', 'PDGFRA', 'PTPRC']
immune	monocytes	['BSG', 'ICAM1', 'CD33', 'CD38', 'FAS', 'CD163', 'SIGLEC1', 'SELPLG', 'MRC1', 'ITGAX', 'ITGB3', 'PILRA', 'ITGAL', 'FCGR3B', 'FCGR2B', 'TNFRSF14', 'CMKLR1', 'SELL', 'PECAM1', 'ACE', 'TLR4', 'CD7', 'STAB1', 'CD86', 'CD244', 'NAAA', 'CD68', 'CD48', 'CD4', 'ITGAM', 'CD14', 'FCGR3A', 'CLEC12A', 'CD63', 'CD36', 'FCGR1A', 'CD40', 'CD1C', 'HLA-DRA', 'CD44', 'PLAUR', 'CXCR3', 'PTPRC']
bronchus	ionocytes	['SLC9A7', 'SLC12A2']
vascular	smooth muscle cells	['PDGFRB']
liver	kupffer cells	['CLEC1B', 'CD14', 'TLR9', 'CD38', 'MSR1', 'SLC15A3', 'CD163', 'HFE', 'TLR4']
heart muscle	cardiomyocytes	['SIRPA', 'NOTCH1', 'AQP1', 'CD36', 'SLC5A1']
liver	cholangiocytes	['AQP1', 'EPCAM', 'GGT1', 'ITGB4', 'GGT7', 'JAG1', 'TACSTD2', 'ALPL', 'SLC4A2']
colon	enteroendocrine cells	['ALCAM']
vascular	endothelial cells	['TSPAN8', 'DPP4', 'ICAM1', 'CD55', 'TEK', 'PODXL', 'RAMP3', 'FLT4', 'THSD1', 'PROCR', 'CD82', 'ITGB3', 'THBD', 'VCAM1', 'APLNR', 'ECE1', 'FLT1', 'PECAM1', 'STAB1', 'NRP2', 'EMP1', 'CD34', 'TGFBR2', 'CLEC14A', 'NPR1', 'ENG', 'PLVAP', 'CALCRL', 'HSPG2', 'TIE1', 'ICAM2', 'AQP1', 'CLEC1B', 'SLC7A5', 'SEMA7A', 'CDH5', 'CD36', 'HYAL2', 'MCAM', 'SLC2A1', 'PTPRB', 'LIFR']
eye	cone photoreceptor cells	['CNTNAP2', 'NTNG1', 'TPBG']
small intestine	enteroendocrine cells	['ALCAM']
small intestine	paneth cells	['IL4R', 'TLR9']
skin	langerhans cells	['CD80', 'HLA-DQB1', 'ACHE', 'HLA-DQB2', 'EPCAM', 'TLR9', 'FCGR2A', 'HLA-DQA2', 'FCGR1A', 'HLA-DRB1', 'HLA-DRA', 'TLR2', 'HLA-DRB5', 'GPNMB', 'TLR4', 'HLA-DQA1', 'PTPRC']
adipose tissue	adipocytes	['MPZL1', 'ADRB2', 'TMEM26', 'LRP1', 'AOC3', 'COL6A2', 'EGFR', 'ADAM12', 'TLR4', 'TLR2', 'TNFRSF9', 'STEAP4', 'SLC1A5', 'SLC2A4', 'FZD4']
pancreas	ductal cells	['TSPAN8', 'AQP1', 'AMBP', 'TACSTD2']
lung	alveolar cells type 1	['EMP2', 'ICAM1', 'P2RX7', 'GPRC5A']
testis	leydig cells	['THBS2', 'PTCH1', 'PLAUR', 'EDNRA']
ovary	granulosa cells	['GAPDH', 'MCAM']
breast	adipocytes	['MPZL1', 'ADRB2', 'TMEM26', 'LRP1', 'AOC3', 'COL6A2', 'EGFR', 'ADAM12', 'TLR4', 'TLR2', 'TNFRSF9', 'STEAP4', 'SLC1A5', 'SLC2A4', 'FZD4']
immune	macrophages	['CD163', 'SIGLEC1']
immune	b-cells	['FCER2', 'CD72', 'CD55', 'CD38', 'MS4A1', 'TNFRSF17', 'CD70', 'IGHG1', 'CR2', 'TNFRSF13B', 'PTPRC', 'LTB', 'CD80', 'CD22', 'CD79B', 'HLA-DQA1', 'CD86', 'TLR9', 'CD5', 'IGHM', 'CD74', 'CD27', 'BST1', 'TNFRSF9', 'CD19', 'IGHG4', 'CCR7', 'CD14', 'BTLA', 'MME', 'SLAMF6', 'CD79A', 'CD40', 'HLA-DRA', 'LAIR1', 'PDCD1', 'CD69', 'CD2']
pbmc	platelets	['ESAM', 'BSG', 'CD40LG', 'ITGAV', 'HLA-A', 'FCGR2A', 'ITGA2B', 'PTGS2', 'CCR4', 'CD84', 'SELPLG', 'ITGA6', 'LRRC32', 'ITGB2', 'ITGB3', 'F11R', 'CD47', 'LTBR', 'HFE', 'PECAM1', 'CD226', 'TLR4', 'ITGA2', 'CXCR1', 'TLR1', 'CD151', 'LAMP2', 'F2R', 'CD109', 'CD48', 'ICAM2', 'SCARB1', 'CLEC1B', 'CD14', 'SELP', 'ADAM10', 'CD63', 'GP5', 'CD36', 'CRLF2', 'ITGB1', 'CD40', 'CD69']
skin	melanocytes	['SLC45A2', 'ATP1B1', 'CTNS', 'TYRP1', 'DCT', 'GPNMB', 'ENPP1']
brain	oligodendrocytes	['PCDH15', 'NPC1', 'EPHB1', 'OPCML', 'ERBB3', 'TMEM63A', 'LRRN1', 'ITGB4', 'PCDH9', 'SEMA4D', 'CNTNAP2', 'HEPACAM', 'GRIA2', 'THY1', 'CXADR', 'EVI2A', 'RTN4', 'S1PR5', 'BACE1', 'FGFR2', 'TYRO3', 'UGT8', 'CDH13', 'CSPG4', 'P2RX7', 'TSPAN15', 'EFNB3', 'MCAM', 'ALCAM', 'PDGFRA']
immune	dendritic cells	['DPP4', 'HLA-B', 'AXL', 'HLA-A', 'SLAMF7', 'HLA-DPA1', 'CD163', 'CR2', 'SIRPA', 'ITGAX', 'ADAM19', 'GPR132', 'FCGR2B', 'CD28', 'CD22', 'HFE', 'HLA-DPB1', 'PDCD1LG2', 'CD1B', 'HLA-DRB5', 'HLA-DQA1', 'CD86', 'HLA-DQB1', 'TLR9', 'SIGLEC6', 'FLT3', 'NAAA', 'P2RY10', 'HLA-C', 'CADM1', 'CCR7', 'CD180', 'ITGAE', 'CD83', 'ITGAM', 'CD14', 'FCGR3A', 'BTLA', 'LY75', 'HLA-DRB1', 'KIT', 'CD1C', 'HLA-DRA', 'TLR3', 'CXCL16', 'SEMA4A', 'CXCR3', 'PTPRC']
immune	nk-cells	['KLRB1', 'DPP4', 'IL2RG', 'CD33', 'KLRF1', 'SLAMF7', 'PCDH15', 'CD3G', 'KLRC1', 'IL18R1', 'NCR3', 'CLEC2D', 'ITGAX', 'SIGLEC7', 'KIR3DL1', 'CD7', 'ITGA2', 'LILRB1', 'CD244', 'IL2RB', 'CD27', 'ITGAM', 'FCGR3A', 'KLRG1', 'SLAMF6', 'KIT', 'CD69', 'CD2']
breast	fibroblasts	['PDGFRB', 'THY1', 'PDGFRA', 'ITGB1']
stomach	fibroblasts	['THY1', 'CSPG4', 'PDGFRB', 'ITGB1', 'FAP', 'VIM', 'PDGFRA', 'COL6A2']
lung	fibroblasts	['THY1', 'CD34', 'DDR2', 'PDGFRB', 'CD36', 'CD163', 'FAP', 'VIM', 'PDGFRA', 'COL6A2', 'PTPRC']
pancreas	fibroblasts	['THY1', 'FAP']
esophagus	fibroblasts	['THY1', 'VIM']
placenta	syncytiotrophoblasts	['CD63']
thymus	fibroblasts	['PDGFRA', 'FAP']
immune	granulocytes	['ITGAM']
skin	fibroblasts	['THY1', 'DPP4', 'MXRA8', 'APCDD1', 'CD36', 'FAP', 'VIM', 'PDGFRA', 'COL6A2']
heart muscle	fibroblasts	['THY1', 'PDGFRA', 'DDR2']
skeletal muscle	fibroblasts	['PDGFRA']
