Tissue	Cell type	Negative Gene Names
immune	b-cells	['FCGR2B', 'KLRG1', 'CD7', 'HLA-DQA1', 'CXCL16', 'HLA-C', 'CCR7', 'CD28', 'ITGAL', 'HLA-DRA', 'TNFRSF14', 'HLA-A', 'CD48', 'DPP4', 'CD1C', 'HLA-DPA1', 'IL2RB', 'PDCD1LG2', 'FCGR3A', 'ADAM19', 'ITGAE', 'CD3G', 'SLAMF7', 'BSG', 'PECAM1', 'CD2', 'CD180', 'KLRB1', 'SIGLEC6', 'CD1B', 'CD163', 'IL2RG', 'CD6', 'KLRC1', 'TRAC', 'CD244', 'CD38', 'S1PR4', 'IL18R1', 'SELPLG', 'GPR132', 'TLR9', 'ITGAX', 'CD44', 'CD69', 'SLAMF6', 'HLA-DRB5', 'HFE', 'ITGA2', 'CD86', 'ITGB3', 'CR2', 'NAAA', 'PTPRC', 'SELL', 'PCDH15', 'CD14', 'CD4', 'LY75', 'CD33', 'CD40', 'HLA-B', 'AXL', 'TLR3', 'KIR3DL1', 'CD3D', 'CD36', 'ACE', 'KIT', 'HLA-DPB1', 'CD83', 'NCR3', 'SIGLEC1', 'TLR4', 'CXCR3', 'LILRB1', 'BTLA', 'MRC1', 'KLRF1', 'HLA-DQB1', 'SEMA4A', 'IL7R', 'STAB1', 'PLAUR', 'CLEC12A', 'IL2RA', 'ITGAM', 'P2RY10', 'CADM1', 'HLA-DRB1', 'CLEC2D', 'FCGR3B', 'CD160', 'CD22', 'SIGLEC7', 'THY1', 'ICAM1', 'FCGR1A', 'FLT3', 'CMKLR1', 'CD27', 'CD63', 'CD68', 'LTB', 'SIRPA', 'FAS', 'PILRA']
immune	dendritic cells	['FCGR2B', 'TNFRSF13B', 'KLRG1', 'CD7', 'HLA-DQA1', 'IGHG4', 'CCR7', 'BST1', 'MME', 'CD28', 'ITGAL', 'HLA-DRA', 'TNFRSF14', 'CD48', 'DPP4', 'CD1C', 'IL2RB', 'FCGR3A', 'CD3G', 'CD19', 'SLAMF7', 'BSG', 'PECAM1', 'CD2', 'KLRB1', 'CD163', 'CD72', 'IL2RG', 'CD6', 'KLRC1', 'TRAC', 'CD244', 'CD74', 'CD38', 'S1PR4', 'IL18R1', 'SELPLG', 'MS4A1', 'TLR9', 'ITGAX', 'CD44', 'CD69', 'PDCD1', 'CD80', 'SLAMF6', 'TNFRSF17', 'ITGA2', 'CD86', 'ITGB3', 'CR2', 'NAAA', 'CD70', 'LAIR1', 'PTPRC', 'SELL', 'PCDH15', 'CD14', 'IGHG1', 'CD4', 'CD33', 'CD40', 'KIR3DL1', 'IGHM', 'CD3D', 'CD79A', 'CD36', 'ACE', 'KIT', 'CD5', 'NCR3', 'SIGLEC1', 'TLR4', 'CD55', 'CXCR3', 'LILRB1', 'BTLA', 'MRC1', 'KLRF1', 'IL7R', 'STAB1', 'CD79B', 'PLAUR', 'CLEC12A', 'IL2RA', 'ITGAM', 'FCER2', 'CLEC2D', 'FCGR3B', 'CD160', 'CD22', 'SIGLEC7', 'THY1', 'ICAM1', 'TNFRSF9', 'FCGR1A', 'CMKLR1', 'CD27', 'CD63', 'CD68', 'LTB', 'FAS', 'PILRA']
immune	granulocytes	['FCGR2B', 'TNFRSF13B', 'KLRG1', 'CD7', 'HLA-DQA1', 'IGHG4', 'CXCL16', 'HLA-C', 'CCR7', 'BST1', 'MME', 'CD28', 'ITGAL', 'HLA-DRA', 'TNFRSF14', 'HLA-A', 'CD48', 'DPP4', 'CD1C', 'HLA-DPA1', 'IL2RB', 'PDCD1LG2', 'FCGR3A', 'ADAM19', 'ITGAE', 'CD3G', 'CD19', 'SLAMF7', 'BSG', 'PECAM1', 'CD2', 'CD180', 'KLRB1', 'SIGLEC6', 'CD1B', 'CD163', 'CD72', 'IL2RG', 'CD6', 'KLRC1', 'TRAC', 'CD244', 'CD74', 'CD38', 'S1PR4', 'IL18R1', 'SELPLG', 'GPR132', 'MS4A1', 'TLR9', 'ITGAX', 'CD44', 'CD69', 'PDCD1', 'CD80', 'SLAMF6', 'TNFRSF17', 'HLA-DRB5', 'HFE', 'ITGA2', 'CD86', 'ITGB3', 'CR2', 'NAAA', 'CD70', 'LAIR1', 'PTPRC', 'SELL', 'PCDH15', 'CD14', 'IGHG1', 'CD4', 'LY75', 'CD33', 'CD40', 'HLA-B', 'AXL', 'TLR3', 'KIR3DL1', 'IGHM', 'CD3D', 'CD79A', 'CD36', 'ACE', 'KIT', 'HLA-DPB1', 'CD5', 'CD83', 'NCR3', 'SIGLEC1', 'TLR4', 'CD55', 'CXCR3', 'LILRB1', 'BTLA', 'MRC1', 'KLRF1', 'HLA-DQB1', 'SEMA4A', 'IL7R', 'STAB1', 'CD79B', 'PLAUR', 'CLEC12A', 'IL2RA', 'ITGAM', 'FCER2', 'P2RY10', 'CADM1', 'HLA-DRB1', 'CLEC2D', 'FCGR3B', 'CD160', 'CD22', 'SIGLEC7', 'THY1', 'ICAM1', 'TNFRSF9', 'FCGR1A', 'FLT3', 'CMKLR1', 'CD27', 'CD63', 'CD68', 'LTB', 'SIRPA', 'FAS', 'PILRA']
immune	monocytes	['TNFRSF13B', 'FCGR2B', 'KLRG1', 'CD7', 'HLA-DQA1', 'IGHG4', 'CXCL16', 'HLA-C', 'CCR7', 'BST1', 'MME', 'CD28', 'HLA-DRA', 'HLA-A', 'DPP4', 'CD1C', 'HLA-DPA1', 'IL2RB', 'PDCD1LG2', 'ADAM19', 'FCGR3A', 'ITGAE', 'CD3G', 'CD19', 'SLAMF7', 'CD2', 'CD180', 'KLRB1', 'SIGLEC6', 'CD1B', 'CD163', 'CD72', 'IL2RG', 'CD6', 'KLRC1', 'TRAC', 'CD244', 'CD74', 'CD38', 'S1PR4', 'IL18R1', 'GPR132', 'MS4A1', 'TLR9', 'ITGAX', 'PDCD1', 'CD69', 'CD80', 'SLAMF6', 'TNFRSF17', 'HLA-DRB5', 'HFE', 'ITGA2', 'CD86', 'CR2', 'CD70', 'NAAA', 'LAIR1', 'PTPRC', 'PCDH15', 'CD14', 'IGHG1', 'CD4', 'LY75', 'CD33', 'CD40', 'HLA-B', 'AXL', 'TLR3', 'KIR3DL1', 'IGHM', 'CD3D', 'CD79A', 'KIT', 'HLA-DPB1', 'CD5', 'CD83', 'NCR3', 'SIGLEC1', 'CD55', 'CXCR3', 'LILRB1', 'BTLA', 'KLRF1', 'HLA-DQB1', 'SEMA4A', 'IL7R', 'CD79B', 'IL2RA', 'ITGAM', 'FCER2', 'P2RY10', 'CADM1', 'HLA-DRB1', 'CLEC2D', 'CD160', 'CD22', 'SIGLEC7', 'THY1', 'TNFRSF9', 'FLT3', 'CD27', 'LTB', 'SIRPA']
immune	nk-cells	['FCGR2B', 'TNFRSF13B', 'CD7', 'HLA-DQA1', 'IGHG4', 'CXCL16', 'HLA-C', 'CCR7', 'BST1', 'MME', 'CD28', 'ITGAL', 'HLA-DRA', 'TNFRSF14', 'HLA-A', 'CD48', 'DPP4', 'CD1C', 'HLA-DPA1', 'IL2RB', 'PDCD1LG2', 'FCGR3A', 'ADAM19', 'ITGAE', 'CD3G', 'CD19', 'SLAMF7', 'BSG', 'PECAM1', 'CD2', 'CD180', 'KLRB1', 'SIGLEC6', 'CD1B', 'CD163', 'CD72', 'CD6', 'TRAC', 'CD244', 'CD74', 'CD38', 'S1PR4', 'IL18R1', 'SELPLG', 'GPR132', 'MS4A1', 'TLR9', 'ITGAX', 'CD44', 'CD69', 'PDCD1', 'CD80', 'SLAMF6', 'TNFRSF17', 'HLA-DRB5', 'HFE', 'CD86', 'ITGB3', 'CR2', 'NAAA', 'CD70', 'LAIR1', 'PTPRC', 'SELL', 'CD14', 'IGHG1', 'CD4', 'LY75', 'CD33', 'CD40', 'HLA-B', 'AXL', 'TLR3', 'IGHM', 'CD3D', 'CD79A', 'CD36', 'ACE', 'KIT', 'HLA-DPB1', 'CD5', 'CD83', 'SIGLEC1', 'TLR4', 'CD55', 'CXCR3', 'BTLA', 'MRC1', 'HLA-DQB1', 'SEMA4A', 'IL7R', 'STAB1', 'CD79B', 'PLAUR', 'CLEC12A', 'IL2RA', 'ITGAM', 'FCER2', 'P2RY10', 'CADM1', 'HLA-DRB1', 'CLEC2D', 'FCGR3B', 'CD160', 'CD22', 'THY1', 'ICAM1', 'TNFRSF9', 'FCGR1A', 'FLT3', 'CMKLR1', 'CD27', 'CD63', 'CD68', 'LTB', 'SIRPA', 'FAS', 'PILRA']
immune	plasma cells	['FCGR2B', 'TNFRSF13B', 'KLRG1', 'CD7', 'HLA-DQA1', 'IGHG4', 'CXCL16', 'HLA-C', 'CCR7', 'BST1', 'MME', 'CD28', 'ITGAL', 'HLA-DRA', 'TNFRSF14', 'HLA-A', 'CD48', 'DPP4', 'CD1C', 'HLA-DPA1', 'IL2RB', 'PDCD1LG2', 'FCGR3A', 'ADAM19', 'ITGAE', 'CD3G', 'CD19', 'SLAMF7', 'BSG', 'PECAM1', 'CD2', 'CD180', 'KLRB1', 'SIGLEC6', 'CD1B', 'CD163', 'CD72', 'IL2RG', 'CD6', 'KLRC1', 'TRAC', 'CD244', 'CD74', 'CD38', 'S1PR4', 'IL18R1', 'SELPLG', 'GPR132', 'MS4A1', 'TLR9', 'ITGAX', 'CD44', 'CD69', 'PDCD1', 'CD80', 'SLAMF6', 'TNFRSF17', 'HLA-DRB5', 'HFE', 'ITGA2', 'CD86', 'ITGB3', 'CR2', 'NAAA', 'CD70', 'LAIR1', 'PTPRC', 'SELL', 'PCDH15', 'CD14', 'IGHG1', 'CD4', 'LY75', 'CD33', 'CD40', 'HLA-B', 'AXL', 'TLR3', 'KIR3DL1', 'IGHM', 'CD3D', 'CD79A', 'CD36', 'ACE', 'KIT', 'HLA-DPB1', 'CD5', 'CD83', 'NCR3', 'SIGLEC1', 'TLR4', 'CD55', 'CXCR3', 'LILRB1', 'BTLA', 'MRC1', 'KLRF1', 'HLA-DQB1', 'SEMA4A', 'IL7R', 'STAB1', 'CD79B', 'PLAUR', 'CLEC12A', 'IL2RA', 'ITGAM', 'FCER2', 'P2RY10', 'CADM1', 'HLA-DRB1', 'CLEC2D', 'FCGR3B', 'CD160', 'CD22', 'SIGLEC7', 'THY1', 'ICAM1', 'TNFRSF9', 'FCGR1A', 'FLT3', 'CMKLR1', 'CD27', 'CD63', 'CD68', 'LTB', 'SIRPA', 'FAS', 'PILRA']
immune	macrophages	['FCGR2B', 'TNFRSF13B', 'KLRG1', 'CD7', 'HLA-DQA1', 'IGHG4', 'CXCL16', 'HLA-C', 'CCR7', 'BST1', 'MME', 'CD28', 'ITGAL', 'HLA-DRA', 'TNFRSF14', 'HLA-A', 'CD48', 'DPP4', 'CD1C', 'HLA-DPA1', 'IL2RB', 'PDCD1LG2', 'FCGR3A', 'ADAM19', 'ITGAE', 'CD3G', 'CD19', 'SLAMF7', 'BSG', 'PECAM1', 'CD2', 'CD180', 'KLRB1', 'SIGLEC6', 'CD1B', 'CD163', 'CD72', 'IL2RG', 'CD6', 'KLRC1', 'TRAC', 'CD244', 'CD74', 'CD38', 'S1PR4', 'IL18R1', 'SELPLG', 'GPR132', 'MS4A1', 'TLR9', 'ITGAX', 'CD44', 'CD69', 'PDCD1', 'CD80', 'SLAMF6', 'TNFRSF17', 'HLA-DRB5', 'HFE', 'ITGA2', 'CD86', 'ITGB3', 'CR2', 'NAAA', 'CD70', 'LAIR1', 'PTPRC', 'SELL', 'PCDH15', 'CD14', 'IGHG1', 'CD4', 'LY75', 'CD33', 'CD40', 'HLA-B', 'AXL', 'TLR3', 'KIR3DL1', 'IGHM', 'CD3D', 'CD79A', 'CD36', 'ACE', 'KIT', 'HLA-DPB1', 'CD5', 'CD83', 'NCR3', 'SIGLEC1', 'TLR4', 'CD55', 'CXCR3', 'LILRB1', 'BTLA', 'MRC1', 'KLRF1', 'HLA-DQB1', 'SEMA4A', 'IL7R', 'STAB1', 'CD79B', 'PLAUR', 'CLEC12A', 'IL2RA', 'ITGAM', 'FCER2', 'P2RY10', 'CADM1', 'HLA-DRB1', 'CLEC2D', 'FCGR3B', 'CD160', 'CD22', 'SIGLEC7', 'THY1', 'ICAM1', 'TNFRSF9', 'FCGR1A', 'FLT3', 'CMKLR1', 'CD27', 'CD63', 'CD68', 'LTB', 'SIRPA', 'FAS', 'PILRA']
small intestine	enteroendocrine cells	['TLR9', 'CDON', 'IL4R', 'MUC4']
small intestine	paneth cells	['ALCAM', 'CDON', 'MUC4']
small intestine	undifferentiated cells	['MUC4', 'ALCAM', 'TLR9', 'CDON', 'IL4R']
