Tissue	Cell type	Positive Gene Names
immune	t-cells	['CD7', 'CCR7', 'CD28', 'IL2RB', 'CD3G', 'CD2', 'KLRB1', 'CD6', 'TRAC', 'S1PR4', 'IL18R1', 'CD69', 'CD4', 'CD3D', 'IL7R', 'IL2RA', 'CLEC2D', 'CD160', 'THY1', 'LTB']
small intestine	intestinal goblet cells	['CDON', 'MUC4']
rectum	paneth cells	['TLR9', 'IL4R']
colon	paneth cells	['TLR9', 'IL4R']
eye	rod photoreceptor cells	['CNTNAP2', 'TPBG', 'NTNG1']
testis	sertoli cells	['STIM1', 'NOTCH2', 'KITLG', 'CD55', 'FAS', 'CLU']
liver	hepatocytes	['LRP5', 'AMBP', 'MME', 'LEPR', 'FGFR4', 'CDH1', 'ICAM1']
rectum	enteroendocrine cells	['ALCAM']
lung	alveolar cells type 2	['CD36']
brain	astrocytes	['ATP1B2', 'CCR7', 'PLXNB1', 'ENTPD2', 'FGFR3', 'RYR3', 'F3', 'NRP1', 'CPVL', 'PDGFRA', 'ITGA6', 'SORL1', 'L1CAM', 'ITGA1', 'PON2', 'HEPACAM', 'CA12', 'CD44', 'LRRC8A', 'CD80', 'SLC14A1', 'SLC1A3', 'CLU', 'ITGA7', 'CD109', 'CD86', 'SORCS2', 'PCDH15', 'ABCA1', 'CD40', 'SLC6A11', 'ITGB4', 'VIM', 'LRP1', 'NTRK2', 'S1PR1', 'SLC15A2', 'HLA-E']
adipose tissue	fibroblasts	['ITGAL', 'ENTPD2', 'CDH11', 'PDGFRA', 'NT5E', 'CD44', 'DDR2', 'PTCH1', 'PTPRC', 'PDGFRB', 'HHIP', 'CD40', 'CTSK', 'SCARA5', 'VIM', 'LAMA2', 'CD55', 'DPEP1', 'COL6A2', 'LRP1', 'THBS2', 'THY1', 'IL1R1', 'FAP', 'PKD2']
immune	monocytes	['FCGR2B', 'CD7', 'ITGAL', 'HLA-DRA', 'TNFRSF14', 'CD48', 'CD1C', 'FCGR3A', 'BSG', 'PECAM1', 'CD163', 'CD244', 'CD38', 'SELPLG', 'ITGAX', 'CD44', 'CD86', 'ITGB3', 'NAAA', 'PTPRC', 'SELL', 'CD14', 'CD4', 'CD33', 'CD40', 'CD36', 'ACE', 'SIGLEC1', 'TLR4', 'CXCR3', 'MRC1', 'STAB1', 'PLAUR', 'CLEC12A', 'ITGAM', 'FCGR3B', 'ICAM1', 'FCGR1A', 'CMKLR1', 'CD63', 'CD68', 'FAS', 'PILRA']
bronchus	ionocytes	['SLC12A2', 'SLC9A7']
vascular	smooth muscle cells	['PDGFRB']
liver	kupffer cells	['CD163', 'CD14', 'CD38', 'TLR9', 'SLC15A3', 'MSR1', 'CLEC1B', 'TLR4', 'HFE']
heart muscle	cardiomyocytes	['SLC5A1', 'AQP1', 'NOTCH1', 'CD36', 'SIRPA']
liver	cholangiocytes	['TACSTD2', 'AQP1', 'JAG1', 'GGT1', 'ITGB4', 'EPCAM', 'ALPL', 'GGT7', 'SLC4A2']
colon	enteroendocrine cells	['ALCAM']
vascular	endothelial cells	['CLEC14A', 'SLC7A5', 'ENG', 'PODXL', 'SLC2A1', 'TEK', 'PROCR', 'DPP4', 'CLEC1B', 'FLT4', 'HSPG2', 'PECAM1', 'CALCRL', 'APLNR', 'ICAM2', 'PTPRB', 'AQP1', 'CD34', 'NRP2', 'RAMP3', 'THSD1', 'CDH5', 'TSPAN8', 'TIE1', 'ITGB3', 'VCAM1', 'TGFBR2', 'EMP1', 'SEMA7A', 'THBD', 'PLVAP', 'CD36', 'LIFR', 'FLT1', 'CD55', 'HYAL2', 'ECE1', 'CD82', 'MCAM', 'NPR1', 'STAB1', 'ICAM1']
eye	cone photoreceptor cells	['CNTNAP2', 'TPBG', 'NTNG1']
small intestine	enteroendocrine cells	['ALCAM']
small intestine	paneth cells	['TLR9', 'IL4R']
skin	langerhans cells	['HLA-DQB1', 'HLA-DQA1', 'HLA-DQB2', 'PTPRC', 'HLA-DRA', 'HLA-DQA2', 'HLA-DRB1', 'FCGR1A', 'ACHE', 'TLR9', 'EPCAM', 'CD80', 'FCGR2A', 'HLA-DRB5', 'TLR4', 'TLR2', 'GPNMB']
adipose tissue	adipocytes	['STEAP4', 'SLC2A4', 'ADRB2', 'SLC1A5', 'FZD4', 'TLR4', 'TMEM26', 'COL6A2', 'LRP1', 'AOC3', 'ADAM12', 'MPZL1', 'EGFR', 'TNFRSF9', 'TLR2']
pancreas	ductal cells	['AMBP', 'TACSTD2', 'AQP1', 'TSPAN8']
lung	alveolar cells type 1	['EMP2', 'ICAM1', 'P2RX7', 'GPRC5A']
testis	leydig cells	['EDNRA', 'PLAUR', 'THBS2', 'PTCH1']
ovary	granulosa cells	['GAPDH', 'MCAM']
breast	adipocytes	['STEAP4', 'SLC2A4', 'ADRB2', 'SLC1A5', 'FZD4', 'TLR4', 'TMEM26', 'COL6A2', 'LRP1', 'AOC3', 'ADAM12', 'MPZL1', 'EGFR', 'TNFRSF9', 'TLR2']
immune	macrophages	['SIGLEC1', 'CD163']
immune	b-cells	['TNFRSF13B', 'HLA-DQA1', 'IGHG4', 'CCR7', 'BST1', 'MME', 'HLA-DRA', 'CD19', 'CD2', 'CD72', 'CD74', 'CD38', 'MS4A1', 'TLR9', 'PDCD1', 'CD69', 'CD80', 'SLAMF6', 'TNFRSF17', 'CD86', 'CR2', 'CD70', 'LAIR1', 'PTPRC', 'CD14', 'IGHG1', 'CD40', 'IGHM', 'CD79A', 'CD5', 'CD55', 'BTLA', 'CD79B', 'FCER2', 'CD22', 'TNFRSF9', 'CD27', 'LTB']
pbmc	platelets	['CXCR1', 'SELP', 'ITGAV', 'CD40LG', 'CD226', 'HLA-A', 'CD48', 'ITGB2', 'CLEC1B', 'TLR1', 'FCGR2A', 'CD47', 'BSG', 'LTBR', 'LAMP2', 'PECAM1', 'ICAM2', 'ITGA6', 'SELPLG', 'CD69', 'HFE', 'SCARB1', 'ITGA2', 'CD109', 'GP5', 'ITGB3', 'CD84', 'CD14', 'ITGA2B', 'CD40', 'ADAM10', 'CD36', 'F11R', 'TLR4', 'ESAM', 'ITGB1', 'PTGS2', 'CRLF2', 'CCR4', 'CD151', 'LRRC32', 'CD63', 'F2R']
skin	melanocytes	['ENPP1', 'DCT', 'CTNS', 'ATP1B1', 'TYRP1', 'SLC45A2', 'GPNMB']
brain	oligodendrocytes	['ERBB3', 'GRIA2', 'EFNB3', 'ALCAM', 'P2RX7', 'SEMA4D', 'PDGFRA', 'CNTNAP2', 'HEPACAM', 'LRRN1', 'UGT8', 'EPHB1', 'TSPAN15', 'PCDH15', 'PCDH9', 'CSPG4', 'OPCML', 'TYRO3', 'ITGB4', 'CXADR', 'EVI2A', 'MCAM', 'TMEM63A', 'CDH13', 'RTN4', 'S1PR5', 'THY1', 'BACE1', 'FGFR2', 'NPC1']
immune	dendritic cells	['FCGR2B', 'HLA-DQA1', 'CXCL16', 'HLA-C', 'CCR7', 'CD28', 'HLA-DRA', 'HLA-A', 'DPP4', 'CD1C', 'HLA-DPA1', 'PDCD1LG2', 'ADAM19', 'FCGR3A', 'ITGAE', 'SLAMF7', 'CD180', 'SIGLEC6', 'CD1B', 'CD163', 'GPR132', 'TLR9', 'ITGAX', 'HLA-DRB5', 'HFE', 'CD86', 'CR2', 'NAAA', 'PTPRC', 'CD14', 'LY75', 'HLA-B', 'AXL', 'TLR3', 'KIT', 'HLA-DPB1', 'CD83', 'CXCR3', 'BTLA', 'HLA-DQB1', 'SEMA4A', 'ITGAM', 'P2RY10', 'CADM1', 'HLA-DRB1', 'CD22', 'FLT3', 'SIRPA']
immune	nk-cells	['KLRG1', 'CD7', 'DPP4', 'IL2RB', 'FCGR3A', 'CD3G', 'SLAMF7', 'CD2', 'KLRB1', 'IL2RG', 'KLRC1', 'CD244', 'IL18R1', 'ITGAX', 'CD69', 'SLAMF6', 'ITGA2', 'PCDH15', 'CD33', 'KIR3DL1', 'KIT', 'NCR3', 'LILRB1', 'KLRF1', 'ITGAM', 'CLEC2D', 'SIGLEC7', 'CD27']
