cell,markers
adipose tissue adipocytes,"['S1PR1', 'F2RL3', 'HYAL2', 'PLVAP', 'CDH5', 'ICAM2', 'PCDH19', 'ULBP3', 'ADRB2', 'SIGLEC5']"
adipose tissue fibroblasts,"['SIGLEC5', 'TLR9', 'PCDHGC5', 'UGT1A9', 'NTSR1', 'TRBV12-3', 'PCDHA11', 'GP5', 'KIR2DL3', 'TRHR']"
adipose tissue schwann cells,"['HLA-DRA', 'CD74', 'HLA-DPA1', 'HLA-DPB1', 'HLA-DRB1', 'HLA-DQB1', 'HLA-DQA1', 'CPVL', 'HLA-DRB5', 'AREG']"
adipose tissue smooth muscle cells,"['SUCNR1', 'PCDHA11', 'SIGLEC5', 'TRBV12-3', 'TLR9', 'PCDHGC5', 'TRHR', 'UGT1A9', 'GP5', 'PCDHA6']"
bone marrow erythroid cells,"['ITGA4', 'MINPP1', 'CD38', 'KCNH2', 'SLC22A16', 'ITGA2B', 'NTRK1', 'CD244', 'GPR174', 'UGT1A9']"
brain astrocytes,"['GPC5', 'SLC1A3', 'RYR3', 'FGFR3', 'GABRA2', 'SLC14A1', 'CACHD1', 'EPHB1', 'SLC6A11', 'SLC15A2']"
brain excitatory neurons,"['PTPRD', 'NEGR1', 'EFNA5', 'GABRB3', 'FAT3', 'SORCS1', 'EPHA4', 'TRHDE', 'UNC5A', 'ZDHHC23']"
brain inhibitory neurons,"['CNTNAP2', 'ROBO1', 'SGCZ', 'FRAS1', 'CDH9', 'PTPRM', 'SDK1', 'SLC44A5', 'KCNA3', 'EPHA5']"
brain microglial cells,"['ABCB1', 'LAMA2', 'COLEC12', 'TMEM156', 'CMKLR1', 'CD86', 'KCNK17', 'LILRB1', 'TLR9', 'SIGLEC5']"
brain oligodendrocyte precursor cells,"['PCDH15', 'PTPRZ1', 'NLGN1', 'SEMA5A', 'CHST11', 'OPCML', 'NTNG1', 'LRRN1', 'NLGN4X', 'BCAN']"
brain oligodendrocytes,"['PDE4B', 'SLC44A1', 'UNC5C', 'PCDH9', 'UGT8', 'HHIP', 'APLP1', 'FGFR2', 'ABCA2', 'LRP2']"
breast adipocytes,"['SLC14A1', 'SIGLEC5', 'TRBV12-3', 'PCDHGC5', 'TLR9', 'TRHR', 'PCDHA11', 'GP5', 'UGT1A9', 'NTSR1']"
breast breast glandular cells,"['SIGLEC5', 'TRBV12-3', 'PCDHGC5', 'TLR9', 'TRHR', 'PCDHA11', 'GP5', 'KIR3DL1', 'UGT1A9', 'NTSR1']"
breast breast myoepithelial cells,"['SIGLEC5', 'PCDHGC5', 'TRBV12-3', 'TLR9', 'PCDHA11', 'TRHR', 'GP5', 'KIR3DL1', 'UGT1A9', 'PCDHA6']"
breast endothelial cells,"['LRRC15', 'SIGLEC5', 'TRBV12-3', 'TLR9', 'KIR3DL1', 'PCDHGC5', 'UGT1A9', 'PCDHA11', 'NTSR1', 'PCDHA6']"
breast fibroblasts,"['SLC26A5', 'SIGLEC5', 'TLR9', 'PCDHGC5', 'KIR3DL1', 'UGT1A9', 'PCDHA11', 'NTSR1', 'TRBV12-3', 'GP5']"
breast smooth muscle cells,"['SIGLEC5', 'TRBV12-3', 'TLR9', 'PCDHGC5', 'KIR3DL1', 'TRHR', 'UGT1A9', 'GP5', 'NTSR1', 'KIR2DL3']"
bronchus basal respiratory cells,"['CDH3', 'SIGLEC5', 'PCDHGC5', 'TRBV12-3', 'TLR9', 'TRHR', 'KIR3DL1', 'UGT1A9', 'NTSR1', 'PCDHA6']"
bronchus ciliated cells,"['CHST6', 'SIGLEC5', 'PCDHGC5', 'TRBV12-3', 'TLR9', 'TRHR', 'KIR3DL1', 'UGT1A9', 'NTSR1', 'GP5']"
bronchus club cells,"['SIGLEC5', 'PCDHGC5', 'TRBV12-3', 'TLR9', 'TRHR', 'KIR3DL1', 'UGT1A9', 'NTSR1', 'GP5', 'PCDHA11']"
bronchus ionocytes,"['MSLN', 'PCDHA11', 'SIGLEC5', 'PCDHGC5', 'TRBV12-3', 'TLR9', 'PCDHA6', 'TRHR', 'KIR3DL1', 'UGT1A9']"
bronchus smooth muscle cells,"['ITGB7', 'PCDH19', 'SIGLEC5', 'TRBV12-3', 'TLR9', 'PCDHGC5', 'KIR3DL1', 'TRHR', 'UGT1A9', 'NTSR1']"
colon distal enterocytes,"['TSPAN1', 'SLC26A2', 'CEACAM1', 'HHLA2', 'SIGLEC5', 'PCDHGC5', 'TRBV12-3', 'TLR9', 'TRHR', 'PCDHA11']"
colon enteroendocrine cells,"['SIGLEC5', 'PCDHGC5', 'TRBV12-3', 'TLR9', 'TRHR', 'PCDHA11', 'GP5', 'KIR3DL1', 'PCDHA6', 'UGT1A9']"
colon intestinal goblet cells,"['SIGLEC5', 'PCDHGC5', 'TRBV12-3', 'TLR9', 'TRHR', 'PCDHA11', 'GP5', 'KIR3DL1', 'PCDHA6', 'UGT1A9']"
colon paneth cells,"['CEACAM6', 'CEACAM1', 'SLC2A5', 'ADRA2A', 'CEACAM8', 'SIGLEC5', 'PCDHGC5', 'TRBV12-3', 'TLR9', 'TRHR']"
colon undifferentiated cells,"['SIGLEC5', 'PCDHGC5', 'TRBV12-3', 'TLR9', 'TRHR', 'PCDHA11', 'GP5', 'KIR3DL1', 'PCDHA6', 'UGT1A9']"
endometrium ciliated cells,"['SIGLEC5', 'TRBV12-3', 'TLR9', 'PCDHGC5', 'TRHR', 'KIR3DL1', 'UGT1A9', 'NTSR1', 'PCDHA11', 'PCDHA6']"
endometrium endometrial stromal cells,"['MME', 'ADRA2C', 'HTR2B', 'SIGLEC5', 'TRBV12-3', 'TLR9', 'PCDHGC5', 'TRHR', 'TMEFF1', 'PCDHA6']"
endometrium endothelial cells,"['SIGLEC5', 'TRBV12-3', 'TLR9', 'KIR3DL1', 'UGT1A9', 'PCDHGC5', 'NTSR1', 'PCDHA6', 'PCDHA11', 'TPTE']"
endometrium glandular and luminal cells,"['SIGLEC5', 'TRBV12-3', 'TLR9', 'PCDHGC5', 'TRHR', 'GP5', 'KIR3DL1', 'UGT1A9', 'NTSR1', 'PCDHA11']"
endometrium smooth muscle cells,"['PCDHGC5', 'SIGLEC5', 'TRBV12-3', 'TLR9', 'PCDHA11', 'KIR3DL1', 'TRHR', 'UGT1A9', 'GP5', 'NTSR1']"
esophagus basal squamous epithelial cells,"['TNFSF18', 'SIGLEC5', 'PCDHGC5', 'TRBV12-3', 'TLR9', 'TRHR', 'PCDHA11', 'KIR3DL1', 'PCDHA6', 'UGT1A9']"
esophagus endothelial cells,"['GP5', 'SIGLEC5', 'TRBV12-3', 'TLR9', 'PCDHGC5', 'KIR3DL1', 'PCDHA11', 'UGT1A9', 'PCDHA6', 'NTSR1']"
esophagus fibroblasts,"['SIGLEC5', 'TLR9', 'PCDHGC5', 'KIR3DL1', 'PCDHA11', 'UGT1A9', 'NTSR1', 'TRBV12-3', 'KIR2DL3', 'SLC45A2']"
esophagus schwann cells,"['L1CAM', 'SCN7A', 'SLITRK6', 'IGSF1', 'GRIK3', 'PLXNB3', 'TMEFF1', 'SCN2B', 'SIGLEC5', 'PCDHGC5']"
esophagus smooth muscle cells,"['SIGLEC5', 'TRBV12-3', 'TLR9', 'PCDHGC5', 'KIR3DL1', 'TRHR', 'UGT1A9', 'NTSR1', 'PCDHA11', 'KIR2DL3']"
esophagus squamous epithelial cells,"['LYPD3', 'CLCA2', 'DSC2', 'SIGLEC5', 'PCDHGC5', 'TRBV12-3', 'TLR9', 'TRHR', 'PCDHA11', 'KIR3DL1']"
eye bipolar cells,"['PLXDC1', 'KCNH2', 'ELFN2', 'NTNG1', 'IGSF1', 'LRFN1', 'NTRK1', 'NTSR1', 'SLITRK3', 'SIGLEC5']"
eye cone photoreceptor cells,"['CHRNA3', 'ELFN1', 'SIGLEC5', 'PCDHGC5', 'TRBV12-3', 'TLR9', 'GP5', 'KIR3DL1', 'UGT1A9', 'TRHR']"
eye horizontal cells,"['SLC29A4', 'GFRA2', 'CACNA2D2', 'RET', 'SCN2B', 'UNC5A', 'TMEM132E', 'DISP2', 'ACHE', 'TRHR']"
eye muller glia cells,"['CLU', 'GPM6B', 'SLC1A3', 'SLITRK2', 'SLC15A3', 'FAM171A2', 'ADORA1', 'FGFRL1', 'CNTFR', 'CSPG5']"
eye rod photoreceptor cells,"['NMUR1', 'SIGLEC5', 'PCDHGC5', 'TRBV12-3', 'TLR9', 'GP5', 'KIR3DL1', 'UGT1A9', 'TRHR', 'PCDHA11']"
fallopian tube ciliated cells,"['SIGLEC5', 'PCDHGC5', 'TRBV12-3', 'TLR9', 'TRHR', 'PCDHA11', 'KIR3DL1', 'UGT1A9', 'NTSR1', 'PCDHA6']"
fallopian tube endothelial cells,"['SIGLEC5', 'TRBV12-3', 'TLR9', 'PCDHGC5', 'KIR3DL1', 'UGT1A9', 'PCDHA11', 'NTSR1', 'PCDHA6', 'TPTE']"
fallopian tube fibroblasts,"['SIGLEC5', 'TLR9', 'PCDHGC5', 'PCDHA11', 'KIR3DL1', 'UGT1A9', 'NTSR1', 'TRBV12-3', 'GP5', 'KIR2DL3']"
fallopian tube lymphatic endothelial cells,"['FLT4', 'COLEC12', 'PKHD1L1', 'AGTR2', 'LRRC15', 'UNC5A', 'SIGLEC5', 'PCDHGC5', 'TRBV12-3', 'TLR9']"
